itemID,gloss,item,definition,choices,uni_lemma,type,category
item_1,vroom?,broem,broem,understands; produces,vroom?,word,sounds
item_2,vroom?,vroem,vroem,understands; produces,vroom?,word,sounds
item_3,poo,bah,bah,understands; produces,poo,word,sounds
item_4,grr,grr,grr,understands; produces,grr,word,sounds
item_5,ouch,au,au,understands; produces,ouch,word,sounds
item_6,grunt,knor,knor,understands; produces,grunt,word,sounds
item_7,cluck,tok,tok,understands; produces,cluck,word,sounds
item_8,(sheep),beh,beh,understands; produces,(sheep),word,sounds
item_9,moo,boe,boe,understands; produces,moo,word,sounds
item_10,ouch,ai,ai,understands; produces,ouch,word,sounds
item_11,cock-a-doodle-doo,kukelekuu,kukelekuu,understands; produces,cock-a-doodle-doo,word,sounds
item_12,choo-choo,tjoek,tjoek,understands; produces,choo-choo,word,sounds
item_13,bark,waf,waf,understands; produces,bark,word,sounds
item_14,woof,woef,woef,understands; produces,woof,word,sounds
item_15,tik,tik,tik,understands; produces,tik,word,sounds
item_16,sssss,sssss,sssss,understands; produces,sssss,word,sounds
item_17,tac,tak,tak,understands; produces,tac,word,sounds
item_18,boom,boem,boem,understands; produces,boom,word,sounds
item_19,quack,kwak,kwak,understands; produces,quack,word,sounds
item_20,oh,ooh,ooh,understands; produces,oh,word,sounds
item_21,miaow,miauw,miauw,understands; produces,miaow,word,sounds
item_22,,blub,blub,understands; produces,,word,sounds
item_23,jummy,mjam,mjam,understands; produces,jummy,word,sounds
item_24,puss,poes,poes,understands; produces,puss,word,animals
item_25,cat,kat,kat,understands; produces,cat,word,animals
item_26,animal,dier,dier,understands; produces,animal,word,animals
item_27,beast,beest,beest,understands; produces,beast,word,animals
item_28,owl,uil,uil,understands; produces,owl,word,animals
item_29,frog,kikker,kikker,understands; produces,frog,word,animals
item_30,deer,hert,hert,understands; produces,deer,word,animals
item_31,fish,vis,vis,understands; produces,fish,word,animals
item_32,dog,hond,hond,understands; produces,dog,word,animals
item_33,Bambi,Bambi,Bambi,understands; produces,Bambi,word,animals
item_34,spider,spin,spin,understands; produces,spider,word,animals
item_35,pinguin,pinguin,pinguin,understands; produces,pinguin,word,animals
item_36,turtle,schildpad,schildpad,understands; produces,turtle,word,animals
item_37,squirrel,eekhoorn,eekhoorn,understands; produces,squirrel,word,animals
item_38,donkey,ezel,ezel,understands; produces,donkey,word,animals
item_39,hedghog,egel,egel,understands; produces,hedghog,word,animals
item_40,bee,bij,bij,understands; produces,bee,word,animals
