itemID,item,definition,choices,type,category,gloss,uni_lemma
item_1,broem,broem,understands; produces,word,NA,vroom?,vroom
item_2,vroem,vroem,understands; produces,word,NA,vroom?,vroom
item_3,bah,bah,understands; produces,word,NA,poo,NA
item_4,grr,grr,understands; produces,word,NA,grr,grrr
item_5,au,au,understands; produces,word,NA,ouch,ouch
item_6,knor,knor,understands; produces,word,NA,grunt,NA
item_7,tok,tok,understands; produces,word,NA,cluck,cluck
item_8,beh,beh,understands; produces,word,NA,(sheep),baa baa
item_9,boe,boe,understands; produces,word,NA,moo,moo
item_10,ai,ai,understands; produces,word,NA,ouch,ouch
item_11,kukelekuu,kukelekuu,understands; produces,word,NA,cock-a-doodle-doo,cockadoodledoo
item_12,tjoek,tjoek,understands; produces,word,NA,choo-choo,choo choo
item_13,waf,waf,understands; produces,word,NA,bark,woof woof
item_14,woef,woef,understands; produces,word,NA,woof,woof woof
item_15,tik,tik,understands; produces,word,NA,tik,NA
item_16,sssss,sssss,understands; produces,word,NA,sssss,shh
item_17,tak,tak,understands; produces,word,NA,tac,NA
item_18,boem,boem,understands; produces,word,NA,boom,boom
item_19,kwak,kwak,understands; produces,word,NA,quack,quack quack
item_20,ooh,ooh,understands; produces,word,NA,oh,oh
item_21,miauw,miauw,understands; produces,word,NA,miaow,meow
item_22,blub,blub,understands; produces,word,NA,,NA
item_23,mjam,mjam,understands; produces,word,NA,jummy,yummy
item_24,poes,poes,understands; produces,word,NA,puss,cat
item_25,kat,kat,understands; produces,word,NA,cat,cat
item_26,dier,dier,understands; produces,word,NA,animal,animal
item_27,beest,beest,understands; produces,word,NA,beast,beast
item_28,uil,uil,understands; produces,word,NA,owl,owl
item_29,kikker,kikker,understands; produces,word,NA,frog,frog
item_30,hert,hert,understands; produces,word,NA,deer,deer
item_31,vis,vis,understands; produces,word,NA,fish,fish (animal)
item_32,hond,hond,understands; produces,word,NA,dog,dog
item_33,Bambi,Bambi,understands; produces,word,NA,Bambi,deer
item_34,spin,spin,understands; produces,word,NA,spider,spider
item_35,pinguin,pinguin,understands; produces,word,NA,pinguin,penguin
item_36,schildpad,schildpad,understands; produces,word,NA,turtle,turtle
item_37,eekhoorn,eekhoorn,understands; produces,word,NA,squirrel,squirrel
item_38,ezel,ezel,understands; produces,word,NA,donkey,donkey
item_39,egel,egel,understands; produces,word,NA,hedgehog,hedgehog
item_40,bij,bij,understands; produces,word,NA,bee,near
item_41,muis,muis,understands; produces,word,NA,mouse,mouse
item_42,eend,eend,understands; produces,word,NA,duck,duck
item_43,cavia,cavia,understands; produces,word,NA,guinea pig/cavia,guinea pig
item_44,mier,mier,understands; produces,word,NA,ant,ant
item_45,leeuw,leeuw,understands; produces,word,NA,lion,lion
item_46,paard,paard,understands; produces,word,NA,horse,horse
item_47,beer,beer,understands; produces,word,NA,bear,bear
item_48,teddybeer,teddybeer,understands; produces,word,NA,teddybear,teddybear
item_49,aap,aap,understands; produces,word,NA,monkey,monkey
item_50,vlinder,vlinder,understands; produces,word,NA,butterfly,butterfly
item_51,koe,koe,understands; produces,word,NA,cow,cow
item_52,slang,slang,understands; produces,word,NA,snake,snake
item_53,vos,vos,understands; produces,word,NA,fox,fox
item_54,kip,kip,understands; produces,word,NA,chicken,chicken (animal)
item_55,schaap,schaap,understands; produces,word,NA,sheep,sheep
item_56,tijger,tijger,understands; produces,word,NA,tiger,tiger
item_57,lam,lam,understands; produces,word,NA,lamb,lamb
item_58,vogel,vogel,understands; produces,word,NA,bird,bird
item_59,konijn,konijn,understands; produces,word,NA,rabbit,bunny
item_60,olifant,olifant,understands; produces,word,NA,elephant,elephant
item_61,krokodil,krokodil,understands; produces,word,NA,crocodile,crocodile
