itemID,category,definition,gloss,uni_lemma,item,choices,type
item_1,sounds,ai-ai,oh,oh,ai-ai,understands; produces,word
item_2,sounds,bää-ä bää-ä,baa baa,baa baa,bää-ä bää-ä,understands; produces,word
item_3,sounds,hau hau,woof woof,woof woof,hau hau,understands; produces,word
item_4,sounds,kvaak kvaak,quack quack,quack quack,kvaak kvaak,understands; produces,word
item_5,sounds,murrr,grrr,grrr,murrr,understands; produces,word
item_6,sounds,ohhoh,oh,oh,ohhoh,understands; produces,word
item_7,sounds,tsuk tsuk,choo choo,choo choo,tsuk tsuk,understands; produces,word
item_8,sounds,ammuu,moo,moo,ammuu,understands; produces,word
item_9,sounds,drnn drnn,vroom,vroom,drnn drnn,understands; produces,word
item_10,sounds,kukkokiekuu,cockadoodledoo,cockadoodledoo,kukkokiekuu,understands; produces,word
item_11,sounds,miauu,meow,meow,miauu,understands; produces,word
item_12,sounds,nam nam,yum yum,yum yum,nam nam,understands; produces,word
item_13,sounds,shh,shh,shh,shh,understands; produces,word
item_14,animals,ampiainen,bee,bee,ampiainen,understands; produces,word
item_15,animals,apina,ape,monkey,apina,understands; produces,word
item_16,animals,hevonen,horse,horse,hevonen,understands; produces,word
item_17,animals,hirvi,moose,moose,hirvi,understands; produces,word
item_18,animals,hämähäkki,spider,spider,hämähäkki,understands; produces,word
,animals,kana,chicken (animal),chicken (animal),kana,understands; produces,word
item_37,animals,kettu,fox,fox,kettu,understands; produces,word
item_38,animals,kissa,cat,cat,kissa,understands; produces,word
,animals,kukko,cock,rooster,kukko,understands; produces,word
item_22,animals,käärme,snake,snake,käärme,understands; produces,word
item_23,animals,lehmä,cow,cow,lehmä,understands; produces,word
item_24,animals,leppäkerttu,ladybird,ladybug,leppäkerttu,understands; produces,word
item_25,animals,mato,worm,worm,mato,understands; produces,word
item_26,animals,norsu,elephant,elephant,norsu,understands; produces,word
item_27,animals,perhonen,butterfly,butterfly,perhonen,understands; produces,word
item_28,animals,possu,pig,pig,possu,understands; produces,word
item_29,animals,pöllö,owl,owl,pöllö,understands; produces,word
item_30,animals,siili,hedgehog,hedgehog,siili,understands; produces,word
item_31,animals,tiikeri,tiger,tiger,tiikeri,understands; produces,word
item_32,animals,ankka,duck,duck,ankka,understands; produces,word
item_33,animals,eläin,animal,animal,eläin,understands; produces,word
item_34,animals,hiiri,mouse,mouse,hiiri,understands; produces,word
item_35,animals,hyttynen,mosquito,mosquito,hyttynen,understands; produces,word
item_36,animals,kala,fish,fish (animal),kala,understands; produces,word
item_19,animals,karhu,bear,bear,karhu,understands; produces,word
item_20,animals,kirahvi,giraffe,giraffe,kirahvi,understands; produces,word
item_21,animals,koira,dog,dog,koira,understands; produces,word
item_39,animals,kärpänen,fly,fly (animal),kärpänen,understands; produces,word
item_40,animals,lammas,sheep,sheep,lammas,understands; produces,word
item_41,animals,leijona,lion,lion,leijona,understands; produces,word
item_42,animals,lintu,bird,bird,lintu,understands; produces,word
item_43,animals,muurahainen,ant,ant,muurahainen,understands; produces,word
item_44,animals,orava,squirrel,squirrel,orava,understands; produces,word
item_45,animals,pingviini,penguin,penguin,pingviini,understands; produces,word
item_46,animals,pupu,bunny,bunny,pupu,understands; produces,word
item_47,animals,sammakko,frog,frog,sammakko,understands; produces,word
item_48,animals,susi,wolf,wolf,susi,understands; produces,word
item_49,animals,tipu,chick,chick,tipu,understands; produces,word
item_50,vehicles,auto,car,car,auto,understands; produces,word
item_51,vehicles,juna,train,train,juna,understands; produces,word
item_52,vehicles,laiva,ship,boat,laiva,understands; produces,word
item_53,vehicles,mopo,moped,motorcycle,mopo,understands; produces,word
item_58,vehicles,polkupyörä,bicycle,bicycle,polkupyörä,understands; produces,word
item_54,vehicles,rattaat,pushchair,stroller,rattaat,understands; produces,word
item_55,vehicles,bussi/linja-auto,bus,bus,bussi/linja-auto,understands; produces,word
item_56,vehicles,kuorma-auto,truck,truck,kuorma-auto,understands; produces,word
item_57,vehicles,lentokone,aeroplane,airplane,lentokone,understands; produces,word
,vehicles,paloauto,fire truck,firetruck,paloauto,understands; produces,word
,vehicles,pulkka,sled,sled,pulkka,understands; produces,word
item_59,vehicles,traktori,tractor,tractor,traktori,understands; produces,word
,toys,ilmapallo,balloon,balloon,ilmapallo,understands; produces,word
item_64,toys,kynä,pencil,pen/pencil,kynä,understands; produces,word
item_61,toys,lapio,spade,spade,lapio,understands; produces,word
,toys,muovailuvaha,modelling clay,clay,muovailuvaha,understands; produces,word
item_62,toys,nukke,doll,doll,nukke,understands; produces,word
item_66,toys,palikka,brick,blocks,palikka,understands; produces,word
,toys,peli,game,game,peli,understands; produces,word
