WS	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	animals	Krokodil	crocodile	crocodile			
item_2	animals	Tier	animal	animal			
item_3	animals	Ameise	ant	ant			
item_4	animals	Bär	bear	bear			
item_5	animals	Giraffe	giraffe	giraffe			
item_6	animals	Schaf	sheep	sheep			
item_7	animals	Hase	bunny	bunny			
item_8	animals	Schmetterling	butterfly	butterfly			
item_9	animals	Schildkröte	turtle	turtle			
item_10	animals	Wolf	wolf	wolf			
item_11	animals	Zebra	zebra			zebra	
item_12	animals	Eule	owl	owl			
item_13	animals	Ente	duck	duck			
item_14	animals	Nilpferd	hippopothamus	hippopotamus			
item_15	animals	Spinne	spider	spider			
item_16	animals	Elefant	elephant	elephant			
item_17	animals	Fisch	fish			fish (animal)	
item_18	animals	Frosch	frog	frog			
item_19	animals	Vogel	bird	bird			
item_20	animals	Huhn	hen	chicken (animal)			
item_21	animals	Pferd	horse	horse			
item_22	animals	Tiger	tiger	tiger			
item_23	animals	Küken	chicken	chick			
item_24	animals	Kuh	cow	cow			
item_25	animals	Reh	deer	deer			
item_26	animals	Hund	dog	dog			
item_27	animals	Fliege	fly	fly (animal)			
item_28	animals	Igel	hedgehog	hedgehog			
item_29	animals	Schlange	snake	snake			
item_30	animals	Fuchs	fox	fox			
item_31	animals	Pinguin	pengiun	penguin			
item_32	animals	Schwein	pig	pig			
item_33	animals	Pony	pony	pony			
item_34	animals	Biene	bee	bee			
item_35	animals	Gans	goose	goose			
item_36	animals	Eichhörnchen	squirrel	squirrel			
item_37	animals	Teddy	teddy	teddybear			
item_38	animals	Katze	cat	cat			
item_39	animals	Löwe	lion	lion			
item_40	animals	Affe	monkey	monkey			
item_41	animals	Maus	mouse	mouse			
item_42	animals	Esel	donkey	donkey			
item_43	animals	Käfer	beetle	bug			
item_44	animals	Schnecke	snail			snail	
item_45	animals	Maulwurf	mole			mole	
item_46	vehicles	Flugzeug	airplane	airplane			
item_47	vehicles	Fahrrad	bicycle	bicycle			
item_48	vehicles	Schiff	ship	boat			
item_49	vehicles	Bus	bus	bus			
item_50	vehicles	Bagger	digger			digger	
item_51	vehicles	Auto	car	car			
item_52	vehicles	Feuerwehr	firetruck			firetruck	
item_53	vehicles	Hubschrauber	helicopter			helicopter	
item_54	vehicles	Motorrad	motocycle	motorcycle			
item_55	vehicles	Müllabfuhr	garbage truck				
item_56	vehicles	Trecker	tractor	tractor			
item_57	vehicles	Bahn	train	train			
item_58	vehicles	Dreirad	tricycle				
item_59	vehicles	Lastwagen	truck	truck			
item_60	toys	Ball	ball	ball			
item_61	toys	Knete	playdough			play dough	
item_62	toys	Papier	paper	paper			
item_63	toys	Buch	book	book			
item_64	toys	Puppenwagen	buggy			stroller	
item_65	toys	Stift	pen	pen			
item_66	toys	Puppe	doll	doll			
item_67	toys	Spiel	game			game	
item_68	toys	Geschichte	story			story	
item_69	toys	Fußball	football			football	
item_70	toys	Luftballon	balloon	balloon			
item_71	toys	Geschenk	present	present			
item_72	toys	Puzzle	puzzle			puzzle	
item_73	toys	Spielzeug	toy	toy (object)			
item_74	food_drink	Apfel	apple	apple			
item_75	food_drink	Pommes	chips		french fries	french fries	
item_76	food_drink	Bohnen	beans	beans			
item_77	food_drink	Butter	butter	butter			
item_78	food_drink	Pudding	pudding	pudding			
item_79	food_drink	Müsli	muesli	cereal			
item_80	food_drink	Saft	juice	juice			
item_81	food_drink	Fleisch	meat	meat			
item_82	food_drink	Suppe	soup	soup			
item_83	food_drink	Nudeln	noodles	pasta			
