WS	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	sounds	άου	ouch	awoo			is this "ouch" or wolf sound?
item_2	sounds	βρεκεκέξ κουάξ κουάξ	frog sound	quack quack		ribbit	quack is wrong
item_3	sounds	γαβ γαβ	woof woof	woof woof			
item_4	sounds	γιάμι	yummy			yum yum	
item_5	sounds	κοκοκό	chicken sound				
item_6	sounds	κικιρίκου	coockadoodledoo	cockadoodledoo			
item_7	sounds	κουκουβά	owl sound			hoot	
item_8	sounds	μιαμ μιαμ	yum yum	yum yum			
item_9	sounds	μιάου	meow	meow			
item_10	sounds	μουουου	moo	moo			
item_11	sounds	μπεεε	sheep sound	baa baa			
item_12	sounds	μπουά	water CG				
item_13	sounds	μπλουμ	bloom				
item_14	sounds	ουφ(φου)	sound when getting tired/bored CG				
item_15	sounds	παπαπά	quack quack			quack quack	
item_16	sounds	πουφ(φου)	sound indicating bad smell CG				
item_17	sounds	τσίου	bird sound	tweet tweet			
item_18	animals	αγελάδα	cow	cow			
item_19	animals	άλογο	horse	horse			
item_20	animals	αράχνη	spider	spider			
item_21	animals	αρκούδα	bear	bear			
item_22	animals	αρνί	lamb	lamb			
item_23	animals	βάτραχος	frog	frog			
item_24	animals	γάιδαρος	donkey	donkey			
item_25	animals	γάτα	cat	cat			
item_26	animals	γουρούνι	pig	pig			
item_27	animals	δελφίνι	dolphin	dolphin			
item_28	animals	ελάφι	deer	deer			
item_29	animals	ελέφαντας	elephant	elephant			
item_30	animals	έντομο	insect	bug			
item_31	animals	ζώο	animal	animal			
item_32	animals	καμήλα	camel			camel	
item_33	animals	καμηλοπάρδαλη	giraffe	giraffe			
item_34	animals	καράολος	snail CG			snail	
item_35	animals	κατσαρίδα	cockroach			cockroach	insect/bug?
item_36	animals	κατσίκα	goat	goat			
item_37	animals	κόκορας	rooster	rooster			
item_38	animals	κότα	chicken	chicken (animal)			
item_39	animals	κουκουβάγια	owl	owl			
item_40	animals	κουνέλι	rabbit	bunny			
item_41	animals	κουνούπι	mosquito	mosquito			
item_42	animals	κουρκουτάς	type of lizard CG			lizard	
item_43	animals	κουτάβι	puppy	puppy			
item_44	animals	κουφή	snake CG			snake	
item_45	animals	κροκόδειλος	crocodile	crocodile			
item_46	animals	λαγός	hare			hare	
item_47	animals	λιοντάρι	lion	lion			
item_48	animals	μαϊμού	monkey	monkey			
item_49	animals	μέλισσα	bee	bee			
item_50	animals	μύγα	fly	fly (animal)			
item_51	animals	μυρμήγκι	ant	ant			
item_52	animals	νυχτερίδα	bat			bat (animal)	
item_53	animals	παπαρούνα	ladybug CG			ladybug	
item_54	animals	πάπια	duck	duck			
item_55	animals	πασχαλίτσα	ladybug	ladybug			
item_56	animals	πεταλούδα	butterfly	butterfly			
item_57	animals	πετεινός	rooster CG	rooster			
item_58	animals	πιγκουίνος	penguin	penguin			
item_59	animals	πίθηκος	monkey			monkey	
item_60	animals	ποντίκι	mouse	mouse			
item_61	animals	πουλί	bird	bird			
item_62	animals	πρόβατο	sheep	sheep			
item_63	animals	σαλιγκάρι	snail			snail	
item_64	animals	σαύρα	lizard			lizard	
item_65	animals	σκίουρος	squirrel	squirrel			
item_66	animals	σκύλος	dog	dog			
item_67	animals	σφήκα	wasp			wasp	
item_68	animals	τίγρη	tiger	tiger			
item_69	animals	φάλαινα	whale			whale	
item_70	animals	φίδι	snake	snake			
item_71	animals	χελώνα	turtle	turtle			
item_72	animals	χήνα	goose	goose			
item_73	animals	ψάρι	fish	fish (animal)			
item_74	toys	αρκουδάκι	teddy bear	teddybear			
item_75	toys	αυτοκινητάκι	car	car			
item_76	toys	βιβλίο	book	book			
item_77	toys	γόμμα	glue CG			glue	
item_78	toys	δώρο	gift	present			
item_79	toys	κόλλα	glue			glue	
item_80	toys	κούκλα	doll	doll			
item_81	toys	κύβος	cube	block			
item_82	toys	μάππα	ball CG			ball	
item_83	toys	μαρκαδόρος	marker	crayon			
item_84	toys	μπάλα	ball	ball			
item_85	toys	μπαλόνι	balloon	balloon			
item_86	toys	μπούλουκκος	teddy bear CG			teddybear	
item_87	toys	μολύβι	pencil	pencil			
item_88	toys	παζλ	puzzle			puzzle	
item_89	toys	παιχνίδι	toy/game	toy (object)			
item_90	toys	παραμύθι	story/fairytale			story	
item_91	toys	πέννα	pen CG			pen/pencil	
item_92	toys	πλαστελίνη	play doh			play dough	
item_93	toys	πλαστισίνη	play doh CG			play dough	
item_94	toys	στρατιωτάκι	toy soldier				
item_95	toys	στυλό	pen	pen			
item_96	toys	τούβλο	block	block			
item_97	toys	φούσκα	balloon CG			balloon	
item_98	food_drink	αλάτι	salt			salt	
item_99	food_drink	αυγό	egg	egg			
item_100	food_drink	βαζάνι	aubergine CG			eggplant	
item_101	food_drink	βούτυρος	butter	butter			
item_102	food_drink	γάλα	milk	milk			
item_103	food_drink	γιαούρτι	yogurt	yogurt			
item_104	food_drink	γλυκό/γλύκισμα	sweet	sweet			
item_105	food_drink	γλειφιτζούρι	lollipop	lollipop			
item_106	food_drink	δημητριακά*	cereal	cereal			
item_107	food_drink	ζαμπόν	ham	ham			
item_108	food_drink	ζάχαρη	sugar	sugar			
item_109	food_drink	ζαχαρωτά	confectionery	candy			
item_110	food_drink	ζελέ	jello				
item_111	food_drink	ζελεδάκια	jelly beans				
item_112	food_drink	καλαμπόκι	corn			corn	
item_113	food_drink	καπίρα	toasted bread CG			toast	
item_114	food_drink	καραμέλα	candy	candy			
item_115	food_drink	καρότο	carrot	carrots			
item_116	food_drink	καρπούζι	watermelon	watermelon			
item_117	food_drink	καφές	coffee	coffee			
item_118	food_drink	κέϊκ	cake	cake			
item_119	food_drink	κέτσαπ	ketchup			ketchup	
item_120	food_drink	κοτόπουλο	chicken	chicken (food)			
item_121	food_drink	κουπέπι	stuffed grape leaves CG				
item_122	food_drink	κουφέττα	candy CG			candy	
item_123	food_drink	κρέας	meat CG	meat			
item_124	food_drink	κρέμα	cream			cream	
item_125	food_drink	κούννες	nuts CG			nut	
item_126	food_drink	λουκουμάδες	greek donuts			pastry	
item_127	food_drink	μαγιονέζα	mayonaise				
item_128	food_drink	μακαρόνια	pasta	pasta			
item_129	food_drink	μαρμελάδα	jam	jam			
item_130	food_drink	μελιτζάνα	aubergine			eggplant	
item_131	food_drink	μήλο	apple	apple			
item_132	food_drink	μηλούιν	lollipop CG			lollipop	
item_133	food_drink	μπανάνα	banana	banana			
item_134	food_drink	μπιζέλι	peas	peas			
item_135	food_drink	μπισκότο	biscuit	biscuit			
item_136	food_drink	μπιφτέκι	burger			hamburger	
item_137	food_drink	νάγκετς	nuggets				
item_138	food_drink	νερό	water	water (beverage)			
item_139	food_drink	ξηροί καρποί	nuts			nut	
item_140	food_drink	παγάκι	ice cube			ice	
item_141	food_drink	παγωτό	ice cream	ice cream			
item_142	food_drink	πατατάκια	crisps	chips			
item_143	food_drink	πατάτα	potato	potato			
item_144	food_drink	πεπόνι	melon			melon	
item_145	food_drink	πίσσα	gum CG			gum	
item_146	food_drink	πίτσα	pizza	pizza			
item_147	food_drink	ποπ κορν	pop corn				
item_148	food_drink	πορτοκάλι	orange	orange (food)			
item_149	food_drink	ρύζι	rice	rice			
item_150	food_drink	σάντουιτς	sandwich	sandwich			
item_151	food_drink	σιάμισι	cypriot sweet				pastry? cake?
item_152	food_drink	σιεφταλιά	cypriot crépinette				pancake?
item_153	food_drink	σιρόπι	syrup			syrup	for drink, or pancake?
item_154	food_drink	σιταροπούλα	corn CG			corn	
item_155	food_drink	σίταρος	corn CG			corn	
item_156	food_drink	σοκολάτα	chocolate	chocolate			
item_157	food_drink	σούβλα	greek skewer	spit			
item_158	food_drink	σουβλάκι	greek skewer				
item_159	food_drink	σούπα	soup	soup			
item_160	food_drink	σταφύδα	raisin	raisin			
item_161	food_drink	σταφύλι	grape	grapes			
item_162	food_drink	τζέλλι	jello CG				
item_163	food_drink	τοστ	toast	toast			
item_164	food_drink	τσάι	tea	tea			
item_165	food_drink	τσιπς	crisps CG			chips	
item_166	food_drink	τσίχλα	gum			gum	
item_167	food_drink	τυρί	cheese	cheese			
item_168	food_drink	φαγητό/φαΐ	food	food			
item_169	food_drink	φακές	lentils			lentil	
item_170	food_drink	φασολάκι	green beans	beans		green beans	keep both if form has both
item_171	food_drink	φασόλια	beans	beans			
item_172	food_drink	φίσφιγκερς	fish fingers				
item_173	food_drink	φράουλα	strawberry			strawberry	
item_174	food_drink	φρουτάκια	jelly beans CG				
item_175	food_drink	φρυγανιά	toasted bread	cracker			
item_176	food_drink	χαμ	ham CG	ham			
item_177	food_drink	χάμπουργκερ	hamburger			hamburger	
item_178	food_drink	χυμός	juice	juice			
item_179	food_drink	χωνάκι	cone (ice cream)			ice cream	
item_180	food_drink	ψάρι	fish	fish (food)			
item_181	food_drink	ψωμί	bread	bread			
item_182	vehicles	αεροπλάνο	airplane	airplane			
item_183	vehicles	αμάξι	car	car			
item_184	vehicles	αμαξούα	pushchair CG			stroller	
item_185	vehicles	αυτοκίνητο	car CG	car			
item_186	vehicles	βάρκα	boat	boat			
item_187	vehicles	καράβι	ship	ship			
item_188	vehicles	καροτσάκι	pushchair			stroller	
item_189	vehicles	λεωφορείο	bus	bus			
item_190	vehicles	μοτοσικλέτα	motorcycle	motorcycle			
item_191	vehicles	μοτόρα	motorcycle CG			motorcycle	
item_192	vehicles	μπουλντόζα	bulldozer			digger	
item_193	vehicles	πλοίο	ship	ship			
item_194	vehicles	ποδήλατο	bicycle	bicycle			
item_195	vehicles	πυροσβεστική	fireengine			firetruck	
item_196	vehicles	σιοίρος	bulldozer CG			digger	
item_197	vehicles	τρακτέρ	tractor	tractor			
item_198	vehicles	τρένο	train	train			
item_199	vehicles	φορτηγό	lorry	truck			
item_200	household	άχρηστα	rubbish	rag			
item_201	household	βούρτσα	brush	brush (object)			
item_202	household	γλάστρα	(flower) pot	flowerpot			
item_203	household	δίσκος	tray			tray	
item_204	household	ηλεκτρική σκούπα*	vacuum cleaner	vacuum			
item_205	household	κάδρο	painting CG			painting	
