WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	sounds	¡am! (comer)	yum! (eat)	yum yum			
item_2	sounds	¡ay! (sorpresa, dolor)	ouch! (surprise, pain)	ouch			
item_3	sounds	bee/mee (oveja)	baa (sheep)	baa baa			
item_4	sounds	cuac cuac (pato)	quack quack (duck)	quack quack			
item_5	sounds	guau guau (perro)	woof woof (dog)	woof woof			
item_6	sounds	miau (gato)	meow (cat)	meow			
item_7	sounds	muu (vaca)	moo (cow)	moo			
item_8	sounds	oinc oinc (cerdo)	oink oink (pig)	oink			
item_9	sounds	pip-pip (auto)	beep beep (car)	beep beep			
item_10	sounds	pío pío (pollo)	peep peep (chicken)				
item_11	sounds	quiquiriquí (gallo)	cockledoodledoo (rooster)	cockadoodledoo			
item_12	sounds	ring ring (sonido del timbre o del teléfono/celular)	ring ring (ring or telephone/cell phone sound)	ring ring			
item_13	sounds	tutú (tren)	choo choo (train)	choo choo			
item_14	sounds	uiu uiu (ambulancia)	wee woo (ambulance)				
item_15	sounds	¡upa upa! (levantar)	oops oops! (lift)				
item_16	sounds	¡pum! (caerse)	boom! (fall down)	boom			
item_17	animals	abeja	bee	bee			
item_18	animals	animal	animal	animal			
item_19	animals	araña	spider	spider			
item_20	animals	ardilla	squirrel	squirrel			
item_21	animals	bicho	bug	bug			
item_22	animals	búho/lechuza	owl	owl			
item_23	animals	burro	donkey	donkey			
item_24	animals	caballo	horse	horse			
item_25	animals	cabra	goat	goat			
item_26	animals	chancho/cerdo	pig	pig			
item_27	animals	conejo	rabbit	bunny			
item_28	animals	cordero	lamb	lamb			
item_29	animals	elefante	elephant	elephant			
item_30	animals	gallina/gallo	hen/rooster	chicken (animal)			
item_31	animals	gato	cat	cat			
item_32	animals	hipopótamo	hippo	hippopotamus			
item_33	animals	hormiga	ant	ant			
item_34	animals	jirafa	giraffe	giraffe			
item_35	animals	león	lion	lion			
item_36	animals	lobo	wolf	wolf			
item_37	animals	mariposa	butterfly	butterfly			
item_38	animals	mono	monkey	monkey			
item_39	animals	mosca	fly	fly (animal)			
item_40	animals	oveja	sheep	sheep			
item_41	animals	oso	bear	bear			
item_42	animals	pájaro	bird	bird			
item_43	animals	pato	duck	duck			
item_44	animals	pavo	turkey	turkey			
item_45	animals	perro	dog	dog			
item_46	animals	pescado/pez	fish	fish (animal)			
item_47	animals	pingüino	penguin	penguin			
item_48	animals	pollito	chick	chick			
item_49	animals	rana/sapo	frog/toad	frog			
item_50	animals	ratón	mouse	mouse			
item_51	animals	ternero/ternera	calf	calf			
item_52	animals	tigre	tiger	tiger			
item_53	animals	tortuga	tortoise	turtle			
item_54	animals	vaca	cow	cow			
item_55	animals	ciervo (pudú, huemul, venado)	deer	deer			
item_56	vehicles	ambulancia	ambulance	ambulance			
item_57	vehicles	auto	self	self			
item_58	vehicles	avión	plane	airplane			
item_59	vehicles	barco	ship	boat			
item_60	vehicles	bicicleta	bicycle	bicycle			
item_61	vehicles	bus/micro	bus	bus			
item_62	vehicles	camión de bomberos	fire engine	firetruck			
item_63	vehicles	camión	truck	truck			
item_64	vehicles	carreta	wagon			wagon	
item_65	vehicles	coche de guagua	stroller	stroller			
item_66	vehicles	moto	motorcycle	motorcycle			
item_67	vehicles	tren	train	train			
item_68	food_drink	agua	water	water (beverage)			
item_69	food_drink	ají	chili	chili			
item_70	food_drink	arroz	rice	rice			
item_71	food_drink	bebida	drink	drink (beverage)			
item_72	food_drink	café	brown	brown			
item_73	food_drink	carne	meat	meat			
item_74	food_drink	cereal	cereal	cereal			
item_75	food_drink	comida	food	food			
item_76	food_drink	dulce/golosina	candy/treat	candy			
item_77	food_drink	fideos/tallarines	noodles/noodles			pasta	
item_78	food_drink	frutilla	strawberry			strawberry	
item_79	food_drink	galleta	biscuit	cookie			
item_80	food_drink	helado	ice cream	ice cream			
item_81	food_drink	huevo	egg	egg			
item_82	food_drink	jamón	ham	ham			
item_83	food_drink	jugo	juice	juice			
item_84	food_drink	leche	milk	milk			
item_85	food_drink	manzana	apple	apple			
item_86	food_drink	mate	mate			tea	
item_87	food_drink	mantequilla/margarina	butter/margarine	butter			
item_88	food_drink	naranja	orange	orange (fruit)			
item_89	food_drink	pan	bread	bread			
item_90	food_drink	papas	potatoes	potato			
item_91	food_drink	pastel/torta	pie/cake	cake			
item_92	food_drink	pera	pear	pear			
item_93	food_drink	plátano/banana	banana	banana			
item_94	food_drink	pollo	chicken	chicken (food)			
item_95	food_drink	porotos	beans	beans			
item_96	food_drink	queso	cheese	cheese			
item_97	food_drink	salchicha	sausage	sausage			
item_98	food_drink	sándwich	sandwich	sandwich			
item_99	food_drink	sopa	soup	soup			
item_100	food_drink	sopaipilla	sopaipilla			donut	or pastry?
item_101	food_drink	tortilla	tortilla	tortilla			
item_102	food_drink	uvas	grapes	grapes			
item_103	food_drink	zanahoria	carrot	carrots		carrot	
item_104	clothing	abrigo	coat	coat			
item_105	clothing	aros	earrings	earrings		earring	
item_106	clothing	babero/pechera	bib	bib			
item_107	clothing	botas	boots	boots		boot	
item_108	clothing	botón	button	button			
item_109	clothing	calcetines	socks	sock			
item_110	clothing	calzón	breeches				
item_111	clothing	cierre	close	close			
item_112	clothing	collar	necklace	necklace			
item_113	clothing	falda	skirt	skirt			
item_114	clothing	lentes/gafas	lenses/goggles				
item_115	clothing	pantalón	pants	pants			
item_116	clothing	pañal	diaper	diaper			
item_117	clothing	pijama	pajamas	pajamas			
item_118	clothing	polera	t-shirt	t-shirt			
item_119	clothing	shorts/pantalón corto	shorts/short pants	shorts			
item_120	clothing	sombrero	hat	hat			
item_121	clothing	chaleco/suéter	vest/sweater	sweater			
item_122	clothing	vestido	dress	dress (object)			
item_123	clothing	zapato	shoe	shoe			
item_124	body_parts	barba/bigote	beard/mustache			beard	
item_125	body_parts	boca	mouth	mouth			
item_126	body_parts	brazos	arms	arm			
item_127	body_parts	cabeza	head	head			
item_128	body_parts	cachete/mejilla	cheek	cheek			
item_129	body_parts	cara	head	head			
item_130	body_parts	dedos	fingers	finger			
item_131	body_parts	dientes	teeth	tooth			
item_132	body_parts	guata/barriga	belly	tummy			
item_133	body_parts	lengua	tongue	tongue			
item_134	body_parts	manos	hands	hand			
item_135	body_parts	nariz	nose	nose			
item_136	body_parts	ojos	eyes	eye			
item_137	body_parts	ombligo	navel	belly button			
item_138	body_parts	orejas	ears	ear			
item_139	body_parts	pechos	breasts	breast			
item_140	body_parts	pelo	hair	hair			
item_141	body_parts	piernas	legs	leg			
item_142	body_parts	pies	feet	feet			
item_143	body_parts	rodillas	knees	knee			
item_144	toys	burbujas	bubbles	bubbles			
item_145	toys	celular/teléfono	cell/phone	telephone			
item_146	toys	globo	balloon	balloon			
item_147	toys	juguete	toy	toy (object)			
item_148	toys	libro	book	book			
item_149	toys	lápiz	pencil	pen			
item_150	toys	muñeca	doll	doll			
item_151	toys	osito	bear	bear			
