WS	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	sounds	am	yum yum	yum yum			
item_2	sounds	ay	ouch	ouch			
item_3	sounds	bee mee	baa baa	baa baa			
item_4	sounds	cuá-cuá	quack quack	quack quack			
item_5	sounds	guau-guau/ba bau	woof woof	woof woof			
item_6	sounds	miau	meow	meow			
item_7	sounds	muu	moo	moo			
item_8	sounds	pío-pío	tweet tweet	tweet tweet			
item_9	sounds	¡pum!	bang	bang			
item_10	sounds	qui-qui-ri-quí	cockadoodledoo	cockadoodledoo			
item_11	sounds	rum-rum	motor noise			vroom	
item_12	sounds	tu-tú	car	choo choo			
item_13	animals	abeja	bee	bee			
item_14	animals	animal	animal	animal			
item_15	animals	araña	spider	spider			
item_16	animals	ardilla	squirrel	squirrel			
item_17	animals	ballena	whale	whale			
item_18	animals	bicho	bug	bug			
item_19	animals	burro	donkey	donkey			
item_20	animals	caballo	horse	horse			
item_21	animals	cebra	zebra	zebra			
item_22	animals	chancho	pig			pig	
item_23	animals	ciervo/bambi	deer			deer	
item_24	animals	cocodrilo	crocodile	crocodile			
item_25	animals	conejo	rabbit	bunny			
item_26	animals	cucaracha	cockroach			cockroach	
item_27	animals	elefante	elephant	elephant			
item_28	animals	foca	seal	seal			
item_29	animals	gallina	hen	hen			
item_30	animals	gato	cat	cat			
item_31	animals	gusano	catterpillar			caterpillar	
item_32	animals	hipopótamo	hippopotamus	hippopotamus			
item_33	animals	hormiga	ant	ant			
item_34	animals	jirafa	giraffe	giraffe			
item_35	animals	lechuza	owl			owl	
item_36	animals	leon	lion	lion			
item_37	animals	lobo	wolf	wolf			
item_38	animals	mariposa	butterfly	butterfly			
item_39	animals	mono	monkey	monkey			
item_40	animals	mosca	fly	fly (animal)			
item_41	animals	mosquito	mosquito	mosquito			
item_42	animals	oso	bear	bear			
item_43	animals	oveja	sheep			sheep	
item_44	animals	pájaro	bird	bird			
item_45	animals	pato	duck	duck			
item_46	animals	pavo	turkey			turkey	
item_47	animals	perro	dog	dog			
item_48	animals	pescado/pez	fish (animal)	fish (animal)			
item_49	animals	pingüino	penguin	penguin			
item_50	animals	pollito	chick	chick			
item_51	animals	rana	frog	frog			
item_52	animals	rató/rata	mouse/rat	mouse			
item_53	animals	sapo	toad			toad	
item_54	animals	tigre	tiger	tiger			
item_55	animals	tortuga	turtle	turtle			
item_56	animals	vaca	cow	cow			
item_57	animals	víbora	snake	snake			
item_58	vehicles	ambulancia	ambulance	ambulance			
item_59	vehicles	auto	car			car	
item_60	vehicles	auto de policía	police car			police car	
item_61	vehicles	avión	airplane	airplane			
item_62	vehicles	barco	boat	boat			
item_63	vehicles	bicicleta/bici	bicycle/bike	bicycle			
item_64	vehicles	camión	truck	truck			
item_65	vehicles	camión de bomberos	fire truck			fire truck	
item_66	vehicles	cochecito de bebé	baby carriage			stroller	
item_67	vehicles	helicóptero	helicopter	helicopter			
item_68	vehicles	micro colectivo	bus			bus	
item_69	vehicles	moto	motorcycle	motorcycle			
item_70	vehicles	tractor	tractor	tractor			
item_71	vehicles	tren	train	train			
item_72	vehicles	triciclo	tricycle	tricycle			
item_73	vehicles	taxi	taxi	taxi			
item_74	food_drink	aceituna	olive			olive	
item_75	food_drink	agua	water	water (beverage)			
item_76	food_drink	alfajor	Argentinian traditional sweet			cookie	
item_77	food_drink	arroz	rice	rice			
item_78	food_drink	atún	tuna	tuna (food)		tuna	
item_79	food_drink	azucar	sugar	sugar			
item_80	food_drink	banana	banana	banana			
item_81	food_drink	café	coffee	coffee			
item_82	food_drink	calabaza	pumpkin	pumpkin			
item_83	food_drink	caramelo	candy			candy	
item_84	food_drink	carne	meat	meat			
item_85	food_drink	cereales	cereal	cereal			
item_86	food_drink	chicle	chewing gum	gum			
item_87	food_drink	choclo	corn			corn	
item_88	food_drink	chocolatada	hot cholate (beverage)			hot chocolate	
item_89	food_drink	chocolate	chocolate	chocolate			
item_90	food_drink	chupetín	lollipop			lollipop	
item_91	food_drink	coca	coke			coke	
item_92	food_drink	comida/papa	food_papa (childish form)				
item_93	food_drink	dulce	jelly (to spread on)			jelly	
item_94	food_drink	durazno	peach	peach			
item_95	food_drink	empanada	Argentinian traditional food			dumpling	
item_96	food_drink	fideos	noodles			pasta	
item_97	food_drink	frutilla	strawberry			strawberry	
item_98	food_drink	galletita	cookie			cookie	
item_99	food_drink	gelatina	jelly			jello	
item_100	food_drink	hamburguesa	hamburger	hamburger			
item_101	food_drink	helado	ice cream			ice cream	
item_102	food_drink	hielo	ice	ice			
item_103	food_drink	huevo	egg	egg			
item_104	food_drink	jamón	ham	ham			
item_105	food_drink	jugo	juice	juice			
item_106	food_drink	leche	milk	milk			
item_107	food_drink	lentejas	lentils			beans	
item_108	food_drink	licuado	smoothie	smoothie			
item_109	food_drink	limonada	lemonade	lemonade			
item_110	food_drink	maní	peanut			nut	
item_111	food_drink	manteca	butter			butter	
item_112	food_drink	manzana	apple	apple			
item_113	food_drink	mate	mate (Argentinian traditional beverage)				
item_114	food_drink	melón	melon	melon			
item_115	food_drink	mermelada	jam	jam			
item_116	food_drink	milanesa	breaded meet (highly frequent in Argentinian´s diet)				
item_117	food_drink	naranja	orange (food)	orange (food)			
item_118	food_drink	pan	bread	bread			
item_119	food_drink	papas fritas	french fries			french fries	
item_120	food_drink	papas	potatoes	potato			
item_121	food_drink	pescado	fish (food)	fish (animal)		fish (food)	not animal
item_122	food_drink	pizza	pizza			pizza	
item_123	food_drink	pochoclo	popcorn			popcorn	
