WS	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	sounds	au	ouch	ouch			
item_2	sounds	bác	bang/boom	boom			
item_3	sounds	bů	moo	moo			
item_4	sounds	crrr	ring	ring ring			
item_5	sounds	haf	bark	woof woof			
item_6	sounds	hop	hop	hop			
item_7	sounds	íí áá	hee-haw	neigh			
item_8	sounds	jupí	yippie				
item_9	sounds	kvá kvá	quack	quack quack			
item_10	sounds	kykyryký	cock-a-doodle-doo	cockadoodledoo			
item_11	sounds	mé mé	baa	baa baa			
item_12	sounds	mňam	yum	yum yum			
item_13	sounds	mňau	meow	meow			
item_14	sounds	šššš hů	choochoo	choo choo			
item_15	sounds	tik tak	ticktack	tick tock			
item_16	sounds	vrn vrn (auto)	vroom	vroom			
item_17	animals	beruška	ladybug	ladybug			
item_18	animals	brouk	bug	bug			
item_19	animals	had	snake	snake			
item_20	animals	jelen	deer	deer			
item_21	animals	kachna	duck	duck			
item_22	animals	kočka	cat	cat			
item_23	animals	kohout	rooster	rooster			
item_24	animals	koza	goat	goat			
item_25	animals	krokodýl	crocodile	crocodile			
item_26	animals	kůň	horse	horse			
item_27	animals	kuře	chicken	chick			
item_28	animals	lev	lion	lion			
item_29	animals	liška	fox	fox			
item_30	animals	medvěd	bear	bear			
item_31	animals	motýl	butterfly	butterfly			
item_32	animals	moucha	fly	fly (animal)			
item_33	animals	opice	monkey	monkey			
item_34	animals	ovce	sheep	sheep			
item_35	animals	pavouk	spider	spider			
item_36	animals	pes	dog	dog			
item_37	animals	prase	pig	pig			
item_38	animals	pták	bird	bird			
item_39	animals	ryba	fish			fish (animal)	
item_40	animals	slepice	chicken/hen	hen			
item_41	animals	šnek	snail			snail	
item_42	animals	tygr	tiger	tiger			
item_43	animals	tučňák	penguin	penguin			
item_44	animals	včela	bee	bee			
item_45	animals	vlk	wolf	wolf			
item_46	animals	vosa	wasp				
item_47	animals	zvíře	animal	animal			
item_48	animals	žába	frog	frog			
item_49	animals	želva	turtle	turtle			
item_50	animals	žirafa	giraffe	giraffe			
item_51	animals	slon	elephant	elephant			
item_52	animals	sova	owl	owl			
item_53	animals	mravenec	ant	ant			
item_54	animals	myš	mouse	mouse			
item_55	animals	králik	rabbit	bunny			
item_56	animals	kráva	cow	cow			
item_57	vehicles	auto	car	car			
item_58	vehicles	autobus	bus	bus			
item_59	vehicles	bagr	excavator				
item_60	vehicles	hasiči	firefighters	firetruck			
item_61	vehicles	kočárek	pram	stroller			
item_62	vehicles	kolo	bicycle	bicycle			
item_63	vehicles	letadlo	airplane	airplane			
item_64	vehicles	loď	ship	boat			
item_65	vehicles	motorka	motorbike	motorcycle			
item_66	vehicles	náklaďák	van	truck			
item_67	vehicles	policajti	policemen	policeman			
item_68	vehicles	sanitka	ambulance	ambulance			
item_69	vehicles	traktor	tractor	tractor			
item_70	vehicles	vlak	train	train			
item_71	vehicles	vrtulník	helicopter			helicopter	
item_72	toys	bábovička	sandcake				
item_73	toys	bubínek	drum	drum			
item_74	toys	dárek	gift	present			
item_75	toys	foťák	camera	camera			
item_76	toys	fotbal	football				
item_77	toys	hračka	toy	toy (object)			
item_78	toys	knížka	book	book			
item_79	toys	kostka	dice				
item_80	toys	krabice	box	box			
item_81	toys	kytara	guitar			guitar	
item_82	toys	lepidlo	glue			glue	
item_83	toys	míč	ball	ball			
item_84	toys	panenka	doll	doll			
item_85	toys	papír	paper	paper			
item_86	toys	štětec	brush	brush (object)			
item_87	toys	tužka	pencil	pen			
item_88	food_drink	banán	banana	banana			
item_89	food_drink	bonbón	bonbon	candy			
item_90	food_drink	brambory	potatoes	potato			
item_91	food_drink	citrón	lemon	lemon			
item_92	food_drink	hrášek	pea	peas			
item_93	food_drink	hruška	pear	pear			
item_94	food_drink	chleba	bread	bread			
item_95	food_drink	jablko	apple	apple			
item_96	food_drink	kaše	mash				
item_97	food_drink	knedlík	dumpling			dumpling	
item_98	food_drink	kukuřice	corn	corn			
item_99	food_drink	lízátko	lolipop	candy			
item_100	food_drink	meloun	watermelon	melon			
item_101	food_drink	mléko	milk	milk			
item_102	food_drink	mrkev	carrot	carrots			
item_103	food_drink	okurka	cucumber	cucumber			
item_104	food_drink	čokoláda	chocolate	chocolate			
item_105	food_drink	dort	cake	cake			
item_106	food_drink	džus	juice	juice			
item_107	food_drink	hlad	hunger				
item_108	food_drink	jahoda	strawberry			strawberry	
item_109	food_drink	jídlo	food	food			
item_110	food_drink	jogurt	yogurt	yogurt			
item_111	food_drink	kafe	coffee	coffee			
item_112	food_drink	mandarinka	mandarine	orange (food)			
item_113	food_drink	marmeláda	jam	jam			
item_114	food_drink	máslo	butter	butter			
item_115	food_drink	maso	meat	meat			
item_116	food_drink	omáčka	sauce	sauce			
item_117	food_drink	oříšky	nuts			nut	
item_118	food_drink	ovoce	fruit	fruit			
item_119	food_drink	palačinka	pancake	pancake			
item_120	food_drink	houby	mushrooms	mushrooms			
item_121	food_drink	kakao	cocoa				hot chocolate or cocoa?
item_122	food_drink	med	honey	honey			
item_123	food_drink	párek	frankfurter	hot dog			
item_124	food_drink	piškot	biscuit	biscuit			
item_125	food_drink	pití	drink	drink (beverage)			
item_126	food_drink	pivo	beer			beer	
item_127	food_drink	polévka	soup	soup			
item_128	food_drink	pomeranč	orange	orange (food)			
item_129	food_drink	rajče	tomato	tomato			
item_130	food_drink	rohlík	breadroll			bun	
item_131	food_drink	rozinka	sultana	raisin			
item_132	food_drink	ryba	fish			fish (food)	
item_133	food_drink	rýže	rice	rice			
item_134	food_drink	sůl	salt	salt			
item_135	food_drink	sušenka	cracker/biscuit	biscuit			
item_136	food_drink	sýr	cheese	cheese			
item_137	food_drink	špagety	spaghetti	spaghetti			
item_138	food_drink	šunka	ham	ham			
item_139	food_drink	vajičko	egg	egg			
item_140	food_drink	voda	water	water (beverage)			
item_141	food_drink	zmrzlina	ice cream	ice cream			
item_142	food_drink	žízeň	thirst	thirsty			
item_143	food_drink	žvýkačka	bubblegum			gum	
item_144	clothing	bačkory	slippers	slipper			
item_145	clothing	boty	shoes	shoe			
item_146	clothing	brýle	glasses	glasses			
item_147	clothing	bryndák	bib	bib			
item_148	clothing	bunda	jacket	jacket			
item_149	clothing	čepice	cap	hat			
item_150	clothing	holinky	boots	boots			
item_151	clothing	kabát	coat	coat			
item_152	clothing	kalhotky	panties	underpants			
item_153	clothing	kalhoty	trousers	pants			
item_154	clothing	klobouk	hat	hat			
item_155	clothing	knoflík	button	button			
item_156	clothing	korále	beads	necklace			
item_157	clothing	kraťasy	shorts	shorts			
item_158	clothing	mikina	pullover	sweater			
item_159	clothing	náušnice	earrings			earring	
item_160	clothing	oblečení	clothes	clothes			
item_161	clothing	plavky	swimwear	swimsuit			
item_162	clothing	plínka	diaper	diaper			
item_163	clothing	ponožky	socks	sock			
item_164	clothing	punčocháče	stockings	tights			
item_165	clothing	pyžamo	pajamas	pajamas			
item_166	clothing	rukavice	gloves	gloves			
item_167	clothing	sandále	sandals	sandals			
item_168	clothing	sukně	skirt	skirt			
item_169	clothing	svetr	sweater	sweater			
item_170	clothing	šála	scarf	scarf			
item_171	clothing	šaty	dress	dress (object)			
item_172	clothing	tričko	t-shirt	t-shirt			
item_173	clothing	zip	zipper	zipper			
item_174	body_parts	bebí	owie	owie			
item_175	body_parts	brada	chin	chin			
item_176	body_parts	břicho	belly/tummy	tummy			
item_177	body_parts	fousy	facial hair			beard	
item_178	body_parts	hlava	head	head			
item_179	body_parts	jazyk	tongue	tongue			
item_180	body_parts	koleno	knee	knee			
item_181	body_parts	krk	neck	neck			
item_182	body_parts	nehet	nail	nail (body part)			
item_183	body_parts	noha	leg	leg			
item_184	body_parts	nos	nose	nose			
item_185	body_parts	obličej	face	face			
item_186	body_parts	oko	eye	eye			
item_187	body_parts	piha	freckle				
item_188	body_parts	pindík (i jiné označení)	penis (any name)	penis			
item_189	body_parts	pipinka (i jiné označení)	vagina (any name)	vagina			
item_190	body_parts	prsa	breasts	breast			
item_191	body_parts	prst	finger	finger			
item_192	body_parts	pupík	bellybutton	belly button			
item_193	body_parts	pusa	mouth	mouth			
item_194	body_parts	rameno	shoulder	shoulder			
item_195	body_parts	ruka	hand/arm	arm			
item_196	household	baterka	flashlight/battery	light (object)			
item_197	household	cédéčko	CD				
item_198	household	dudlík	dummy	pacifier			
item_199	household	hodinky	watch	watch (object)			
item_200	household	hrnek	cup	cup			
item_201	household	hřeben	comb	comb (object)			
item_202	household	kapesník	handkerchief	tissue			
item_203	household	kartáček na zuby	toothbrush	toothbrush			
item_204	household	kladivo	hammer	hammer			
item_205	household	klíč	key	keys			
item_206	household	koš	bin	trash			
item_207	household	koště	broom	brush (object)			
item_208	household	kýbl	bucket	bucket			
item_209	household	kytka	flower	flower			
item_210	household	láhev	bottle	bottle			
item_211	household	lampa	lamp	lamp			
item_212	household	vysavač	vacuum cleaner	vacuum			
item_213	household	lžička	spoon	spoon			
item_214	household	mísa	bowl	bowl			
item_215	household	hadr	rag	cloth			
item_216	household	mýdlo	soap	soap			
item_217	household	noviny	newspaper			newspaper	
item_218	household	nůž	knife	knife			
item_219	household	nůžky	scissors	scissors			
item_220	household	obraz	painting/image	picture			
item_221	household	peněženka	wallet	purse			
item_222	household	peníze	money	money			
item_223	household	peřina	blanket	blanket			
item_224	household	počitáč	computer	computer			
item_225	household	polštář	pillow	pillow			
item_226	household	prášek	powder				
item_227	household	rádio	radio	radio			
item_228	household	světlo	light	light (object)			
item_229	household	šuplík	drawer	drawer			
item_230	household	talíř	plate	plate			
item_231	household	telefon	phone	telephone			
item_232	household	televize	television	TV			
item_233	household	trouba	oven	oven			
item_234	household	ubrousek	napkin	tissue			
item_235	household	vidlička	fork	fork			
item_236	furniture_rooms	dveře	door	door			
item_237	furniture_rooms	chodba	corridor/hallway	corridor			
item_238	furniture_rooms	koupelna	bathroom	bathroom			
item_239	furniture_rooms	křeslo	armchair	armchair			
item_240	furniture_rooms	kuchýň	kitchen	kitchen			
item_241	furniture_rooms	lednička	fridge	refrigerator			
item_242	furniture_rooms	myčka	dishwasher			dishwasher	
item_243	furniture_rooms	obývák	living room	living room			
item_244	furniture_rooms	okno	window	window			
item_245	furniture_rooms	podlaha	floor	floor			
item_246	furniture_rooms	pokoj	room	room			
item_247	furniture_rooms	postel	bed	bed			
item_248	furniture_rooms	pračka	washing machine	washing machine			
item_249	furniture_rooms	schody	stairs	stairs			
item_250	furniture_rooms	sprcha	shower	shower			
item_251	furniture_rooms	stolička	stool	chair			
item_252	furniture_rooms	stůl	table	table			
item_253	furniture_rooms	umyvadlo	sink	sink			
item_254	furniture_rooms	vana	tub	bath			
item_255	furniture_rooms	židle	chair	chair			
item_256	outside_places	bazén	swimming pool	pool			
item_257	outside_places	déšť	rain	rain			
item_258	outside_places	doma	home	home			
item_259	outside_places	dům	house	house			
item_260	outside_places	hadice	hose			hose	
item_261	outside_places	houpačka	seesaw	swing (object)			
item_262	outside_places	hřiště	playground	playground			
item_263	outside_places	hvězda	star	star			
item_264	outside_places	chodník	sidewalk			sidewalk	
item_265	outside_places	kámen	stone	stone			
item_266	outside_places	klouzačka	slide	slide (object)			
item_267	outside_places	lavička	bench	bench			
item_268	outside_places	les	forrest			forest	
item_269	outside_places	lopata	shovel	spade			
item_270	outside_places	louže	puddle	puddle			
item_271	outside_places	měsíc	moon	moon			
item_272	outside_places	město	city			town	
item_273	outside_places	mrak	cloud	cloud			
item_274	outside_places	návštěva	visit				
item_275	outside_places	nebe	sky	sky			
item_276	outside_places	obchod	shop	store			
item_277	outside_places	park	park	park			
item_278	outside_places	písek	sand	sand			
item_279	outside_places	práce	work	work (place)			
item_280	outside_places	sekačka	lawnmower			lawn mower	
item_281	outside_places	skála	rock	rock (object)			
