WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	item_1	sounds	aúpa	wow	wow			
item_2		sounds	auuuu (lobo)					
item_3		sounds	beeee					
item_4	item_4	sounds	brumbrum (coche)	vroom	vroom			
item_5	item_5	sounds	cua-cuá	quack quack	quack quack			
item_6		sounds	¿eh?					
item_7	item_6	sounds	gua-guáu	woof woof	woof woof			
item_8		sounds	¡hala!	haha				
item_9		sounds	iiiiaaaa (burro)	hee haw	hee haw			
item_10	item_7	sounds	miau	meow	meow			
item_11		sounds	nino-nino (sirena)					
item_12		sounds	piípií (coche)					
item_13	item_11	sounds	pío pío	tweet tweet	tweet tweet			
item_14		sounds	¡pumba!					
item_15		sounds	Quiquiriquí	cockadoodledoo	cockadoodledoo			
item_16		sounds	rin-rin (timbre)	ding dong	ding dong			
item_17	item_13	sounds	tic-tac					
item_18	item_14	sounds	tocotoc (caballo)	clip clop	clip clop			
item_19		sounds	¡uy!	ouch	ouch			
item_20		games_routines	a bañar	go to the bathroom	bathe (action)			
item_21		games_routines	a comer	to eat	eat (action)			
item_22		games_routines	a dormir	go to sleep	sleep (action)			
item_23	item_15	games_routines	a ver	let’s see	see (action)			
item_24	item_16	games_routines	a vestir	dress (action)	dress (action)			
item_25		games_routines	besitos	kisses	kisses			
item_26		games_routines	bueno (bien)	okay	okay			
item_27		games_routines	buenos días/noches	good morning / good night	good morning			..and good night
item_28		games_routines	cariño	affection				
item_29	item_23	games_routines	cinco lobitos	five little wolves				
item_30		games_routines	cochino	nasty	nasty			
item_31		games_routines	cuidado	watch out				
item_32		games_routines	déjame	let me				
item_33		games_routines	eso no	not that	not that			
item_34	item_21	games_routines	espera	wait	wait			
item_35		games_routines	estáte quieto	be quiet	shh			
item_36		games_routines	gracias	thank you	thank you			
item_37		games_routines	hasta luego/hasta mañana	see you later				
item_38		games_routines	hola/adiós	hello/goodbye	hello			..and goodbye
item_39		games_routines	mira	look/watch	look			
item_40	item_26	games_routines	no	no	no			
