WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	item_1	sounds	Baa baa	Sheep	sheep		baa baa	sound
item_2	item_2	sounds	chri chri chri	bird	bird			
item_3		sounds	Giya	Dove				
item_4		sounds	Ha ha ha	Duck	duck		quack quack	sound
item_5	item_3	sounds	Hi hoo hihoo	Donkey	donkey		hee haw	sound
item_6	item_4	sounds	Huu huu huu	Dog	dog		woof woof	sound
item_7	item_5	sounds	Kima/Tsalu	monkey	monkey			
item_8	item_6	sounds	Kokoikoo	Cockerel			cockadoodledoo	
item_9		sounds	Kru kru kru	Chicken calling chicks			peep peep	
item_10	item_8	sounds	Kunguru	Crow	crow			def is animal name; wrong category
item_11	item_9	sounds	Lumira	Ouch	ouch			
item_12	item_10	sounds	Mee mee	Goat	goat			
item_13	item_11	sounds	Miau miau	Cat	cat		meow	sound
item_14		sounds	Moo moo	Cow	cow		moo	sound
item_15		sounds	Pikipiki/Honda	Motorbike			motorcycle	
item_16	item_13	sounds	Simu	Phone			phone	wrong category
item_17	item_14	sounds	Tamu tamu/Pamu pamu	Sweetness				
item_18		sounds	Vruum vruum	Car	car			
item_19	item_16	animals	Batha	Duck	duck			
item_20		animals	Batha muzinga	Turkey	turkey			
item_21		animals	Boho	Butterfly	butterfly			
item_22	item_17	animals	Chula	Frog	frog			
item_23		animals	Farasi	Horse	horse			
item_24		animals	Gongolo	Millipede				
item_25		animals	Jogolo	Cockerel			rooster	
item_26		animals	Juijui	Spider	spider			
item_27		animals	Kajonjoloka	Lizard			lizard	
item_28		animals	Katsungula	Hare, rabbit			bunny	
item_29		animals	Kobe	Tortoise			tortoise	
item_30	item_18	animals	Kolo	Hen	hen			
item_31	item_19	animals	Kuku	Chicken			chicken (animal)	
item_32		animals	Kunguni	Bed bug			bed bug	
item_33	item_20	animals	Kunguru	Crow	crow			
item_34	item_21	animals	Kuro	Dog	dog			
item_35		animals	Mbu/Usunye	Mosquito	mosquito			
item_36		animals	Mbuzi/Mee	Goat	goat			
item_37	item_23	animals	Mududu	Insect			bug	
item_38	item_24	animals	Munyama	Animal	animal			
item_39		animals	Mutswa/Tsungu	Ant	ant			
item_40		animals	Mwana wa kuro	Puppy	puppy			
