WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	item_157	sounds	Cee	peekaboo	peekaboo			
item_2	item_156	sounds	Cıss	don't-touch-it	don't			
item_3		sounds	Çufçuf	choo choo			choo choo	
item_4	item_155	sounds	Düt	beep	vroom			
item_5	item_154	sounds	Ham	yum yum	yum yum			
item_6	item_153	sounds	Havhav	woof woof	woof woof			
item_7	item_152	sounds	Hop/Hoppa	up up	up			
item_8	item_151	sounds	Mee	baa	baa baa			
item_9	item_149	sounds	Pisi-pisi	meow	meow			
item_10		sounds	Şişt	hush			shh	
item_11	item_148	sounds	Uf	ouch	ouch			
item_12		sounds	Vak vak	quack quack			quack quack	
item_13		sounds	Vınn	vroom	vroom			
item_14	item_147	animals	Arı	bee	bee			
item_15		animals	Aslan	lion			lion	
item_16	item_146	animals	At (animal)	horse	horse			
item_17	item_145	animals	Ayı	bear	bear			
item_18	item_144	animals	Balık (animal)	fish	fish (animal)			
item_19		animals	Baykuş	owl			owl	
item_20	item_143	animals	Böcek	bug	bug			
item_21		animals	Deve	camel			camel	
item_22		animals	Domuz	pig			pig	
item_23	item_142	animals	Eşek	donkey	donkey			
item_24		animals	Fare	mouse			mouse	
item_25		animals	Fil	elephant			elephant	
item_26		animals	Geyik	deer			deer	
item_27		animals	Hayvan	animal			animal	
item_28		animals	Horoz	rooster			rooster	
item_29	item_141	animals	İnek	cow	cow			
item_30		animals	Kaplan	tiger			tiger	
item_31		animals	Karga	crow			crow	
item_32		animals	Karınca	ant			ant	
item_33		animals	Kartal	eagle			eagle	
item_34		animals	Keçi	goat			goat	
item_35	item_140	animals	Kedi	cat	cat			
item_36		animals	Koyun	sheep			sheep	
item_37	item_138	animals	Köpek	dog	dog			
item_38	item_137	animals	Kurbağa	frog	frog			
item_39	item_136	animals	Kuş	bird	bird			
item_40		animals	Kurt	wolf			wolf	
item_41		animals	Leylek	stork			stork	
item_42	item_134	animals	Maymun	monkey	monkey			
item_43	item_133	animals	Ördek	duck	duck			
item_44		animals	Örümcek	spider			spider	
item_45		animals	Papağan	parrot			parrot	
item_46		animals	Sincap	squirrel			squirrel	
item_47		animals	Sinek	fly			fly (animal)	
item_48	item_132	animals	Tavşan	rabbit/bunny	bunny			
item_49	item_131	animals	Tavuk	chicken/hen	chicken (animal)			
item_50		animals	Timsah	crocodile			crocodile	
item_51		animals	Yavru	baby animal				
item_52		animals	Zebra	zebra			zebra	
item_53		animals	Zürafa	giraffe			giraffe	
item_54	item_135	animals	Kuzu	lamb	lamb			
item_55		vehicles	Ambulans	ambulance	ambulance			
item_56	item_130	vehicles	Araba	car	car			
item_57	item_129	vehicles	Bisiklet	bicycle	bicycle			
item_58	item_128	vehicles	Gemi/Vapur	boat/ship	boat			
item_59		vehicles	Helikopter	helicopter	helicopter			
item_60		vehicles	İtfaiye	firetruck	firetruck			
item_61	item_127	vehicles	Kamyon	truck	truck			
item_62		vehicles	Kayık	rowing boat			kayak	small boat / rowboat
item_63		vehicles	Motosiklet	motorcycle	motorcycle			
item_64	item_126	vehicles	Otobüs	bus	bus			
item_65		vehicles	Traktör	tractor	tractor			
item_66	item_125	vehicles	Tren	train	train			
item_67	item_124	vehicles	Uçak	airplane	airplane			
item_68		vehicles	Yelkenli	sailing boat			sailboat	
item_69	item_123	toys	Balon	balloon	balloon			
item_70	item_122	toys	Bebek (object)	doll	doll			
item_71		toys	Blok	block			blocks	
item_72	item_121	toys	Boya (object)	crayon	crayon			
item_73		toys	Davul	drum			drum	
item_74		toys	Defter	notebook			notebook	
item_75		toys	Düdük	whistle			whistle (object)	
item_76	item_120	toys	Kalem	pencil	pen/pencil			
item_77	item_119	toys	Kitap	book	book			
item_78	item_118	toys	Kova	bucket/pail	bucket			
item_79		toys	Kukla	puppet			puppet	
item_80		toys	Kürek	shovel			shovel	
item_81		toys	Lego	lego			blocks	
item_82		toys	Masal	story			story	
item_83	item_117	toys	Oyuncak	toy	toy (object)			
item_84		toys	Pazıl/Yap-boz	puzzle			puzzle	
item_85		toys	Robot	robot	robot			
item_86	item_116	toys	Top	ball	ball			
item_87		toys	Tüfek	gun	gun			
item_88		toys	Uçurtma	kite			kite	
item_89	item_115	food_drink	Armut	pear	pear			
item_90	item_114	food_drink	Ayran	yoghurt drink	yogurt drink			
item_91	item_113	food_drink	Bal	honey	honey			
item_92	item_112	food_drink	Balık (food)	fish	fish (food)			
item_93	item_111	food_drink	Bisküvi	biscuit	cracker			
item_94	item_110	food_drink	Börek	pastry	pastry			
item_95		food_drink	Cips	chips			chips	
item_96	item_109	food_drink	Çay	tea	tea			
item_97	item_108	food_drink	Çikolata	chocolate	chocolate			
item_98		food_drink	Çilek	strawberry			strawberry	
item_99	item_107	food_drink	Çorba	soup	soup			
item_100		food_drink	Dolma	stuffed vegetable				
item_101	item_106	food_drink	Domates	tomato	tomato			
item_102	item_105	food_drink	Dondurma	ice cream	ice cream			
item_103	item_104	food_drink	Ekmek	bread	bread			
item_104	item_103	food_drink	Elma	apple	apple			
item_105	item_102	food_drink	Et	meat	meat			
item_106		food_drink	Fasulye	beans			beans	
item_107	item_101	food_drink	Fıstık	peanut	nut			
item_108		food_drink	Gazoz	soda			soda	
item_109		food_drink	Ispanak	spinach			spinach	
item_110		food_drink	Kahve	coffee			coffee	
item_111	item_99	food_drink	Karpuz	watermelon	watermelon			
item_112		food_drink	Kayısı	apricot			apricot	
item_113	item_98	food_drink	Kek	cake	cake			
item_114		food_drink	Ketçap	ketchup			ketchup	
item_115		food_drink	Kiraz	cherry			cherry	
item_116	item_97	food_drink	Kola	coke	soda			
item_117	item_96	food_drink	Köfte	meatball	meatball			
item_118	item_95	food_drink	Kurabiye	cookie	cookie			
item_119	item_94	food_drink	Limon	lemon	lemon			
item_120		food_drink	Lokum	turkish delight				candy?
item_121	item_93	food_drink	Makarna	pasta/spaghetti	pasta			
item_122		food_drink	Mandalina	tangerine			tangerine	orange (food) ?
item_123	item_92	food_drink	Meyve	fruit	fruit			
item_124		food_drink	Mısır	corn			corn	
item_125	item_91	food_drink	Muhallebi	pudding	pudding			
item_126	item_90	food_drink	Muz	banana	banana			
item_127		food_drink	Nar	pomegranate			pomegranate	
item_128		food_drink	Nohut	chickpea			chickpea	
item_129	item_89	food_drink	Pasta	cake	cake			
item_130	item_87	food_drink	Patates	potato	potato			
item_131	item_88	food_drink	Peynir	cheese	cheese			
item_132	item_86	food_drink	Pilav	rice	rice			
item_133		food_drink	Pizza	pizza			pizza	
item_134		food_drink	Poğaça	pastry			pastry	
item_135	item_85	food_drink	Portakal	orange	orange (food)			
item_136	item_84	food_drink	Reçel	jam	jam			
item_137		food_drink	Sakız/Çiklet	chewing gum			gum	
item_138		food_drink	Salam	salami			salami	
item_139		food_drink	Salatalık	cucumber			cucumber	
item_140	item_83	food_drink	Simit	pretzel/common turkish snack	pretzel			G would call it a bagel, or bread...
item_141		food_drink	Soğan	onion			onion	
item_142		food_drink	Sosis	sausage 			sausage	
item_143	item_82	food_drink	Su	water	water (beverage)			
item_144		food_drink	Sucuk	spicy sausage			sausage	
item_145	item_81	food_drink	Süt	milk	milk			
item_146	item_79	food_drink	Şeker	sugar /candy	candy			
item_147	item_78	food_drink	Tarhana	kind of soup	tarhana			
item_148	item_77	food_drink	Tost	toast	toast			
item_149		food_drink	Tuz	salt			salt	
item_150		food_drink	Üzüm	grape			grapes	
item_151	item_76	food_drink	Yemek	food	food			
item_152	item_75	food_drink	Yoğurt	yogurt	yogurt			
item_153	item_74	food_drink	Yumurta	egg	egg			
item_154	item_73	food_drink	Zeytin	olive	olive			
item_155	item_72	clothing	Ayakkabı/Pabuç	shoe	shoe			
item_156	item_71	clothing	Bez (çocuk bezi)	diaper	diaper			
item_157		clothing	Bilezik	bracelet	bracelet			
item_158		clothing	Bluz	blouse			blouse	
item_159		clothing	Bot	boots			boots	
item_160	item_69	clothing	Ceket	jacket	jacket			
item_161		clothing	Cep	pocket			pocket	
item_162		clothing	Çizme	boots			boots	
item_163	item_68	clothing	Çorap	socks	sock			
item_164		clothing	Don/Külot	underpants	underpants			
item_165	item_67	clothing	Elbise	dress	dress (object)			
item_166		clothing	Eldiven	gloves			gloves	
item_167		clothing	Eşofman	tracksuit			tracksuit	
item_168		clothing	Etek	skirt	skirt			
item_169		clothing	Fanila/Atlet	undershirt				
item_170		clothing	Gecelik	night gown			pajamas	
item_171	item_65	clothing	Gözlük	eyeglasses	glasses			
item_172	item_64	clothing	Kazak	sweater	sweater			
item_173		clothing	Kemer	belt			belt	
item_174		clothing	Küpe	earring	earrings			
item_175		clothing	Mont	jacket			jacket	
item_176	item_62	clothing	Önlük	bib	bib			
item_177	item_61	clothing	Palto	coat	coat			
item_178	item_60	clothing	Pantolon	pants	pants			
item_179	item_59	clothing	Pijama	pyjamas	pajamas			
item_180	item_58	clothing	Şapka	hat	hat			
item_181		clothing	Şort	shorts			shorts	
item_182		clothing	Taç	headband	headband			
item_183		clothing	Tayt	tights	tights			
item_184	item_57	clothing	Terlik	slipper	slipper			
item_185	item_56	clothing	Tişört	t-shirt	t-shirt			
item_186		clothing	Toka	hairpin	hairpin			
item_187	item_54	body_parts	Ağız	mouth	mouth			
item_188	item_53	body_parts	Ayak	foot	foot			
item_189	item_52	body_parts	Bacak	leg	leg			
item_190	item_51	body_parts	Baş/Kafa	head	head			
item_191		body_parts	Bıyık	mustache			mustache	beard?
item_192		body_parts	Boğaz	throat			throat	
item_193		body_parts	Boyun	neck			neck	
item_194	item_50	body_parts	Burun	nose	nose			
item_195		body_parts	Çene	chin			chin	
item_196	item_49	body_parts	Dil	tongue	tongue			
