WS	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	sounds	Bom Bang (撞擊聲)		boom			
item_2	sounds	喂?/ 喂!	hi / hey	hi			
item_3	sounds	哎吔		uh oh			
item_4	sounds	Mem Mem (好味)		yum yum			
item_5	sounds	𠼭𠼭 (車聲)		beep beep			
item_6	sounds	Bi Boo (救傷車聲)		bi boo (siren)			
item_7	sounds	嘭嘭 (槍聲)		bang bang			
item_8	sounds	Wou Wou (狗吠聲)		woof woof			
item_9	sounds	喵 (貓叫聲)		meow			
item_10	sounds	咩咩 (羊叫聲)		baa baa			
item_11	sounds	呷呷 (鴨叫聲)		quack quack			
item_12	sounds	吱吱 (雀叫聲)		tweet tweet			
item_13	sounds	咯咯 (雞叫聲)		cluck			
item_14	people	媽媽/媽咪		mommy			
item_15	people	爸爸/爹哋		daddy			
item_16	people	婆婆	grandma / maternal grandma	grandma			
item_17	people	嫲嫲	grandma / paternal grandma	grandma			
item_18	people	公公	grandpa / maternal grandpa	grandpa			
item_19	people	爺爺	grandpa / paternal grandpa	grandpa			
item_20	people	姐姐	sister / older sister	sister			
item_21	people	妹妹	sister / younger sister	sister			
item_22	people	哥哥	brother / older brother	brother			
item_23	people	弟弟	brother / younger brother	brother			
item_24	people	姨姨/Auntie		aunt			
item_25	people	伯伯		uncle			
item_26	people	叔叔/Uncle		uncle			
item_27	people	嬸嬸		aunt			
item_28	people	姑媽	aunt / father's older sister	aunt			
item_29	people	姑姐	aunt / father's younger sister	aunt			
item_30	people	姑丈	uncle / father's sister's husband	uncle			
item_31	people	舅父	uncle / mother's brother	uncle			
item_32	people	舅母	aunt / mother's brother's wife	aunt			
item_33	people	姨媽	aunt / mother's older sister	aunt			
item_34	people	姨丈	uncle / mother's sister's husband	uncle			
item_35	people	自己的名字		child's own name			
item_36	people	BB		baby			
item_37	people	工人的名字		helper's name			
item_38	people	小朋友的名字		friends' names			
item_39	people	細路仔/小朋友		child			
item_40	people	男(仔)		boy			
item_41	people	女(仔)		girl			
item_42	people	司機		driver			
item_43	people	醫生		doctor			
item_44	people	謢士/姑娘		nurse			
item_45	people	老師/先生		teacher			
item_46	people	警察/差人		policeman			
item_47	people	消防員		firefighter			
item_48	people	得得B					
item_49	people	Hello Kitty					
item_50	people	比卡超					
item_51	people	超人					
item_52	people	人		person			
item_53	food_drink	水		water (beverage)			
item_54	food_drink	牛奶/奶奶		milk			
item_55	food_drink	湯		soup			
item_56	food_drink	果汁		juice			
item_57	food_drink	茶		tea			
item_58	food_drink	汽水		soda			
item_59	food_drink	可樂/其他飲品名稱		coke			
item_60	food_drink	嘢食		food			
item_61	food_drink	蛋		egg			
item_62	food_drink	飯		rice			
item_63	food_drink	米		rice			
item_64	food_drink	粥					
item_65	food_drink	麵		noodles			
item_66	food_drink	通心粉		macaroni			
item_67	food_drink	意粉		spaghetti			
item_68	food_drink	點心					
item_69	food_drink	腸粉					
item_70	food_drink	蝦餃		dumpling			
item_71	food_drink	燒賣	siu mai / dumpling				
item_72	food_drink	麵包/包包		bread			
item_73	food_drink	叉燒包/其他中式包		bun			
item_74	food_drink	漢堡包/其他西式包		hamburger			
item_75	food_drink	餅(乾)		biscuit			
item_76	food_drink	蛋糕		cake			
item_77	food_drink	薯條		french fries			
item_78	food_drink	薯片		chips			
item_79	food_drink	肉		meat			
item_80	food_drink	雞(肉)		chicken (food)			
item_81	food_drink	豬(肉)		pork			
item_82	food_drink	牛(肉)		beef			
item_83	food_drink	魚		fish (food)			
item_84	food_drink	蝦			shrimp	shrimp	
item_85	food_drink	蟹			crab	crab	
item_86	food_drink	魚蛋			fish balls		
item_87	food_drink	雞翼	chicken wing / chicken (food)	chicken (food)			
item_88	food_drink	雞脾	chicken thigh / chicken (food)	chicken (food)			
item_89	food_drink	腸仔		sausage			
item_90	food_drink	火腿		ham			
item_91	food_drink	叉燒	barbequed pork / char siu				
item_92	food_drink	菜			vegetable	vegetable	
item_93	food_drink	白菜	cabbage / bok choy, chinese cabbage	cabbage			
