Oxford	OxfordShort	TEDS_Twos	TEDS_Threes	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1		item_13		sounds	baa baa	baa baa	baa baa			
item_2				sounds	choo choo	choo choo	choo choo			
item_3	item_3			sounds	cockadoodledoo	cockadoodledoo	cockadoodledoo			
item_4				sounds	grr	grr	grrr			
item_5		item_17		sounds	meow	meow	meow			
item_6				sounds	moo	moo	moo			
item_7				sounds	ouch	ouch	ouch			
item_8				sounds	quack	quack	quack quack			
item_9				sounds	uh oh	uh oh	uh oh			
item_10				sounds	vroom	vroom	vroom			
item_11				sounds	woof	woof	woof woof			
item_12				sounds	yum	yum	yum yum			
item_13				animals	animal	animal	animal			
item_14		item_33		animals	bear	bear	bear			
item_15				animals	bee	bee	bee			
item_16		item_37		animals	bird	bird	bird			
item_17				animals	bunny / rabbit	bunny / rabbit	bunny			
item_18				animals	butterfly	butterfly	butterfly			
item_19		item_41		animals	cat	cat	cat			
item_20				animals	chicken	chicken	chicken (animal)			
item_21				animals	cow	cow	cow			
item_22				animals	deer	deer	deer			
item_23		item_45		animals	dog	dog	dog			
item_24	item_24		item_17	animals	donkey	donkey	donkey			
item_25		item_49		animals	duck	duck	duck			
item_26	item_26			animals	elephant	elephant	elephant			
item_27	item_27	item_85		animals	fish	fish	fish (animal)			
item_28				animals	frog	frog	frog			
item_29				animals	giraffe	giraffe	giraffe			
item_30	item_30			animals	goose	goose	goose			
item_31		item_53		animals	horse	horse	horse			
item_32	item_32			animals	kitten	kitten	kitty			
item_33				animals	lamb	lamb	lamb			
item_34	item_34			animals	lion	lion	lion			
item_35				animals	monkey	monkey	monkey			
item_36				animals	mouse	mouse	mouse			
item_37				animals	owl	owl	owl			
item_38	item_38			animals	penguin	penguin	penguin			
item_39	item_39			animals	pig	pig	pig			
item_40				animals	pony	pony	pony			
item_41				animals	puppy	puppy	puppy			
item_42				animals	sheep	sheep	sheep			
item_43				animals	spider	spider	spider			
item_44	item_44			animals	squirrel	squirrel	squirrel			
item_45				animals	tiger	tiger	tiger			
item_46				animals	turkey	turkey	turkey			
item_47				animals	turtle	turtle	turtle			
item_48	item_48			vehicles	aeroplane / plane	aeroplane / plane	airplane			
item_49				vehicles	bicycle / bike	bicycle / bike	bicycle			
item_50		item_61		vehicles	boat	boat	boat			
item_51				vehicles	lorry / truck	lorry / truck	truck			
item_52				vehicles	motor-bike	motor-bike	motorcycle			
item_53				vehicles	bus	bus	bus			
item_54	item_54	item_65		vehicles	car	car	car			
item_55				vehicles	fire engine	fire engine	firetruck			
