WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	item_3	sounds	꽥꽥	quack quack	quack quack			
item_2	item_4	sounds	꿀꿀	oink oink	oink			
item_3	item_5	sounds	똑똑	knock knock	knock knock			
item_4	item_6	sounds	멍멍	woof woof	woof woof			
item_5	item_8	sounds	빵빵	honk honk	beep beep			
item_6	item_9	sounds	야옹	meow	meow			
item_7	item_10	sounds	얌얌	yum yum	yum yum			
item_8	item_11	sounds	어흥	roar			roar	
item_9	item_13	sounds	음매	moo	moo			
item_10		sounds	짹짹	tweet tweet	tweet tweet			
item_11	item_14	sounds	칙칙폭폭	choo choo	choo choo			
item_12	item_15	vehicles	기차	train	train			
item_13	item_16	vehicles	배	boat	boat			
item_14	item_17	vehicles	버스	bus	bus			
item_15	item_19	vehicles	비행기	airplane	airplane			
item_16	item_18	vehicles	불자동차/소방차	firetruck	firetruck			
item_17		vehicles	썰매	sled			sled	
item_18		vehicles	오토바이	motorcycle	motorcycle			
item_19		vehicles	유모차	stroller	stroller			
item_20		vehicles	자전거	bicycle	bicycle			
item_21	item_20	vehicles	차/자동차	car	car			
item_22	item_21	vehicles	택시	taxi			taxi	
item_23		vehicles	트럭	truck	truck			
item_24		vehicles	헬리콥터	helicopter			helicopter	
item_25	item_73	toys	공	ball	ball			
item_26		toys	로봇	robot			robot	
item_27		toys	블록	block	block			
item_28		toys	비누방울	bubbles	bubbles			
item_29		toys	선물	present	present			
item_30	item_78	toys	연필	pencil			pencil	
item_31	item_79	toys	인형	doll	doll			
item_32		toys	장난감	toy	toy (object)			
item_33	item_77	toys	종이	paper	paper			
item_34	item_80	toys	책	book	book			
item_35		toys	총	gun			gun	
item_36		toys	크레용/크레파스	crayon	crayon			
item_37		toys	풀	glue			glue	
item_38	item_82	toys	풍선	balloon	balloon			
item_39		animals	개	dog	dog			
item_40	item_23	animals	개구리	frog	frog			
item_41		animals	개미	ant	ant			
item_42		animals	거북이	turtle	turtle			
item_43		animals	거위	goose	goose			
item_44	item_24	animals	고양이	cat	cat			
item_45	item_25	animals	곰	bear	bear			
item_46		animals	공룡	dinosaur			dinosaur	
item_47	item_26	animals	기린	giraffe	giraffe			
item_48	item_27	animals	나비	butterfly	butterfly			
item_49		animals	다람쥐	squirrel	squirrel			
item_50	item_28	animals	닭	chicken (animal)	chicken (animal)			
item_51		animals	당나귀	donkey	donkey			
item_52		animals	동물	animal	animal			
item_53	item_29	animals	돼지	pig	pig			
item_54	item_30	animals	말	horse	horse			
item_55	item_31	animals	물고기	fish	fish (animal)			
item_56		animals	뱀	snake	snake			
item_57	item_32	animals	벌	bee	bee			
item_58		animals	벌레	bug	bug			
