WS	TC	IC	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
	item_265		descriptive_words	好听	ear-pleasing				uni_lemma?
	item_266		descriptive_words	困	sleepy	sleepy			
	item_267		descriptive_words	好多	a good deal; a lot	a lot			
	item_268		descriptive_words	不好	bad	bad			
	item_272		descriptive_words	蓝色	blue	blue			
	item_274		descriptive_words	白色	white	white			
	item_276		descriptive_words	棕色	brown	brown			
	item_278		descriptive_words	淘气	naughty	naughty			
	item_280		descriptive_words	可爱	cute	cute			
	item_281		descriptive_words	坏(人)	bad	bad			
	item_283		descriptive_words	痛	ache; pain			painful	
	item_284		descriptive_words	好看	good-looking	pretty			
	item_285		descriptive_words	穷	poor	poor			
	item_286		descriptive_words	睡着	asleep	asleep			
	item_287		descriptive_words	好吃	tasty	tasty			
	item_288		descriptive_words	安静	quiet	quiet			
	item_289		descriptive_words	绿色	green	green			
	item_290		descriptive_words	难看	ugly	ugly			
	item_292		descriptive_words	少	little	little (amount)			
	item_293		descriptive_words	吵	noisy	noisy			
	item_298		descriptive_words	粘	sticky	sticky			
	item_299		descriptive_words	轻	light	light (description)			
	item_300		descriptive_words	慢	slow	slow			
	item_308		descriptive_words	聪明	clever; smart	smart			
	item_310		descriptive_words	伤心	sad	sad			
	item_312		descriptive_words	空的	empty	empty			
	item_314		descriptive_words	不是	no	no			
	item_317		descriptive_words	黑色	black	black			
	item_318		descriptive_words	(天)黑	dark	dark			
	item_322		helping_verbs	必须	must; need to	need			
	item_324		helping_verbs	试试	try to	try			
	item_325		places	操场	playground	playground			
	item_327		places	车棚	shed	garage			
	item_328		places	城里	downtown	downtown			
	item_329		places	电影院	cinema			cinema	
	item_331		places	工厂	factory			factory	
	item_332		places	公司	company				could be "work (place)"
	item_334		places	海边	beach	beach			
	item_335		places	加油站	gas station	gas station			
	item_337		places	森林	woods	woods			
	item_338		places	停车场	park				
	item_339		places	图书馆	library	library			
	item_340		places	幼儿园	kindergarten	kindergarten			
	item_342		places	饭馆	restaurant	restaurant			
	item_349		vehicles	警车	police wagon	police car			
	item_351		vehicles	救火车	fire truck	firetruck			
	item_355		vehicles	小汽车	car	car			
	item_357		vehicles	出租车	taxi	taxi			
	item_360		connecting_words	但是	but	but			
	item_363		connecting_words	然后	then	then			
	item_366		household	叉子	fork	fork			
	item_370		household	肥皂	soap	soap			
	item_371		household	罐头	can	can (object)			
	item_372		household	光	light	light (object)			
	item_373		household	光盘	disk			disk	as in CD
	item_376		household	花瓶	vase			vase	
	item_382		household	蜡烛	candle	candle			
	item_384		household	毛巾被	blanket	blanket			
	item_385		household	抹布	dishcloth	rag			
	item_386		household	闹钟	alarm clock	clock			
	item_387		household	盘子	plate	plate			
	item_391		household	日历	calendar			calendar	
	item_392		household	伞	umbrella	umbrella			
	item_393		household	勺子	spoon	spoon			
	item_396		household	梳子	comb	comb (object)			
	item_398		household	水壶	jug			jug	
	item_399		household	锁	lock	lock (object)			
	item_400		household	毯子	blanket	blanket			
	item_401		household	条帚	broom	broom			
	item_403		household	拖把	mop	mop			
	item_405		household	香皂	soap	soap			
	item_406		household	牙膏	toothpaste	toothpaste			
	item_409		household	遥控器	remote control	remote control			
	item_413		household	针	needle			needle	
	item_416		household	玻璃	glass	glass			
	item_417		household	痱子粉	bath powder				
	item_418		household	花盆	flowerpot	flowerpot			
	item_419		household	门铃	doorbell	bell			
	item_420		household	奶瓶	feeding-bottle	bottle			
	item_421		household	床单	bed sheet			bed sheet	
	item_424		household	电线	wire			wire	
	item_425		household	插座	socket			socket	
	item_426		household	插头	plug			plug	
	item_427		outside	草	grass	grass			
	item_428		outside	草地	lawn	yard		yard	
	item_430		outside	车轮	wheel	wheel			
	item_434		outside	棍	stick	stick			
	item_437		outside	街道	street	street			
	item_438		outside	楼道	corridor	corridor			
	item_441		outside	旗	flag	flag			
	item_443		outside	人行道	sidewalk	sidewalk			
	item_444		outside	洒水车	sprinkler	sprinkler			
	item_445		outside	上班	go to work			go to work	
	item_448		outside	树叶	leaf	leaf			
	item_449		outside	水龙头	tap	faucet			
	item_452		outside	天上	sky	sky			
	item_459		outside	院子	backyard	backyard			
	item_461		outside	云	cloud	cloud			
	item_463		toys	布娃娃	doll	doll			
	item_464		toys	粉笔	chalk	chalk			
	item_468		toys	胶水	glue	glue			
	item_471		toys	泡泡	bubbles	bubbles			
	item_472		toys	皮球	ball	ball			
	item_473		toys	气球	balloon	balloon			
	item_475		toys	跷跷板	teeter totter			see-saw	
	item_477		toys	球拍	bat	bat			
	item_479		toys	水枪	squirt gun	gun			
	item_481		toys	橡皮泥	plasticeme	play dough			
	item_484		toys	琴	string instrument				
	item_485		toys	贴画	stick	stick			
	item_486		action_words	(表)演	show		perform	perform	
	item_488		action_words	帮忙	help	help			
	item_489		action_words	帮	help	help			
	item_492		action_words	猜	guess	guess			
	item_496		action_words	吃	eat	eat			
	item_501		action_words	打破	break	break			
	item_502		action_words	打碎	break into pieces	break			
	item_503		action_words	打扫	clean; sweep	clean (action)			
	item_504		action_words	带上	bring	bring			
	item_506		action_words	倒(垃圾)	dump	dump			
	item_508		action_words	掉(下)	drop	drop			
	item_509		action_words	跌倒	fall	fall			
	item_510		action_words	摔倒	fall down	fall			
	item_515		action_words	分(享)	share	share			
	item_516		action_words	盖(被子)	cover	cover (action)			
	item_517		action_words	盖(楼房)	build	build			
	item_518		action_words	赶快	hurry	hurry			
	item_521		action_words	干活	work	work (action)			
	item_522		action_words	鼓掌	clap	clap			
	item_523		action_words	拍手	clap	clap			
	item_524		action_words	刮风	blow	blow			
	item_525		action_words	关(门)	close the door	close			
	item_527		action_words	挑(选)	pick	choose			
	item_528		action_words	滑冰	skate	skate			
	item_529		action_words	划(船)	row	row row your boat			
	item_533		action_words	讲(故事)	tell story	tell			
	item_534		action_words	浇	water			water (action)	
	item_536		action_words	喊	shout	shout			
	item_537		action_words	开车	drive	drive			
	item_538		action_words	开(门)	open the door	open (action)			
	item_541		action_words	拉(手)	pull	pull			
	item_544		action_words	拿	bring; take	take			
	item_545		action_words	拿走	take away	take away			
	item_546		action_words	挠(痒痒)	tickle	tickle			
	item_549		action_words	泼	pour	pour			
	item_553		action_words	切	cut	cut			
	item_554		action_words	亲	kiss	kiss			
	item_555		action_words	走开	go away	leave			
	item_558		action_words	扫地	sweep the floor	sweep			
	item_559		action_words	生病	get sick	sick			
	item_560		action_words	适合	fit	fit			
	item_561		action_words	梳(头)	comb	comb (action)			
	item_562		action_words	刷牙	brush teeth	brush teeth			
	item_564		action_words	说(话)	say	say			
	item_576		action_words	做完	finish	finish			
	item_581		action_words	下雨	rain	rain			
	item_587		action_words	摇	shake	shake			
	item_593		action_words	找到	find	find			
	item_595		action_words	转(圈)	turn; rotate	spin			
	item_596		action_words	(假)装	pretend	pretend			
	item_600		action_words	走路	walk	walk			
	item_604		action_words	出来	come out				uni_lemma?
	item_605		action_words	过来	come here				uni_lemma?
	item_607		action_words	回家	go home				uni_lemma?
	item_608		action_words	堆(积木)	pile	stack (action)			
	item_609		action_words	插(蜡烛)	insert	insert			
	item_610		furniture_rooms	(洗澡)喷头	sprayer				uni_lemma?
	item_615		furniture_rooms	窗子	window	window			
	item_616		furniture_rooms	窗帘	curtain	curtain			
	item_622		furniture_rooms	客厅	living room	living room			
	item_624		furniture_rooms	炉子	stove	stove			
	item_626		furniture_rooms	暖气	heating			heating	
	item_628		furniture_rooms	书架	bookshelf			bookshelf	
	item_629		furniture_rooms	水池	sink	sink			
	item_631		furniture_rooms	卧室	bedroom	bedroom			
	item_634		furniture_rooms	摇椅	rocking chair	rocking chair			
	item_635		furniture_rooms	衣柜	wardrobe	wardrobe			
	item_637		furniture_rooms	浴缸	bathtub	bathtub			
	item_638		furniture_rooms	浴室	bathroom	bathroom			
	item_640		furniture_rooms	桌子	table	table			
	item_641		furniture_rooms	电风扇	fan	fan			
	item_642		furniture_rooms	电脑	computer	computer			
	item_643		clothing	衣服	dress	clothes			
	item_644		clothing	雨衣	raincoat			raincoat	
	item_646		clothing	棉衣	jacket	jacket			
	item_647		clothing	睡衣	pajamas	pajamas			
	item_648		clothing	大衣	coat	coat			
	item_649		clothing	西服	western-style clothes				
	item_654		clothing	短裤	pants; shorts	shorts			
	item_656		clothing	雨鞋	rain boot	boots			
	item_659		clothing	运动鞋	sneakers	sneaker			
	item_664		clothing	耳环	earring	earrings			
	item_665		clothing	领带	tie			tie (object)	
	item_666		clothing	拉链	zipper	zipper			
	item_668		clothing	珠子	beads	beads			
	item_670		pronouns	他(她)	he; she; him	he			
	item_671		pronouns	他(她)的	his; her	his			
	item_682		pronouns	我自己	myself	myself			
	item_683		pronouns	这儿	here	here			
	item_687		pronouns	那儿	there	there			
	item_692		question_words	哪里	where	where (question)			
	item_696		question_words	干吗	what are you doing?		what's up?		
	item_697		question_words	哪儿	where	where (question)			
	item_703		time_words	白天	day	day			
	item_706		time_words	上午	morning	morning			
	item_707		time_words	中午	noon			noon	
	item_708		time_words	下午	afternoon	afternoon			
	item_710		time_words	一会	a while				uni_lemma?
		item_29	furniture_rooms	桌子	table	table			
		item_30	furniture_rooms	窗子	window	window			
		item_40	animals	鱼	fish	fish (animal)			
		item_46	animals	兔子	rabbit; bunny	bunny			
		item_48	animals	鸡	chicken	chicken (animal)			
		item_62	outside	下雨	rain	rain			
		item_66	outside	上班	go to work			go to work	
		item_76	descriptive_words	蓝色	blue	blue			
		item_78	descriptive_words	空的	empty	empty			
		item_83	descriptive_words	漂亮	pretty	pretty			
		item_84	descriptive_words	红色	red	red			
		item_93	descriptive_words	白色	white	white			
		item_94	descriptive_words	黑色	black	black			
		item_98	vehicles	小汽车	car	car			
		item_103	vehicles	警车	police wagon	police car			
		item_110	body_parts	脚	foot	foot			
		item_114	body_parts	嘴	mouth	mouth			
		item_122	household	扫帚	broom	broom			
		item_123	household	梳子	comb	comb (object)			
		item_131	household	勺子	spoon	spoon			
		item_136	household	伞	umbrella	umbrella			
		item_137	household	针	needle	needle			
		item_141	action_words	打扫	clean; sweep	clean (action)			
		item_142	action_words	关(门)	close the door	close			
		item_143	action_words	开(门)	open the door	open (action)			
		item_146	action_words	开车	drive	drive			
		item_153	action_words	亲	kiss	kiss			
		item_158	action_words	拉	pull	pull			
		item_172	action_words	拿	bring; take	take			
		item_176	action_words	生病	get sick	sick			
		item_180	games_routines	再见	bye	bye			
		item_181	games_routines	不	no	no			
		item_188	games_routines	想要	wanna; want to	wanna			
		item_191	games_routines	前	front	front			
		item_192	games_routines	后	back	back			
		item_193	games_routines	一个	one	a			
		item_194	games_routines	上面	above	above			
		item_195	games_routines	下面	under	under			
		item_196	games_routines	两个	two	two			
		item_208	people	宝宝自己的名字	baby's name	child's own name			
		item_217	pronouns	这儿	here	here			
		item_218	pronouns	那儿	there	there			
		item_219	clothing	衣服	dress	clothes			
		item_221	clothing	珠子	beads	beads			
		item_222	clothing	钮扣	button	button			
		item_226	toys	皮球	ball	ball			
		item_228	toys	泡泡	bubbles	bubbles			
		item_230	toys	娃娃	doll	doll			
