WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes	
item_495		action_words	esconder(se)	to hide			hide		*
item_496	item_283	action_words	escribir	to write	write				
item_497		action_words	escuchar	to listen			listen		*
item_498	item_284	action_words	esperar(se)	to expect	wait				
item_499		action_words	ganar	to win			gain		*
item_500		action_words	gritar	shout			shout		*
item_501		action_words	gustar	to like			like		*
item_502		action_words	hacer	to do			do		*
item_503	item_260	action_words	abrir	to open	open (action)				
item_504	item_315	states	estar	be	be				
item_505		states	haber (hay)	have					
item_506	item_316	states	ser	to be	be				
item_507		descriptive_words	alto	high up			tall		*
item_508	item_325	descriptive_words	amarillo	yellow	yellow				
item_509	item_326	descriptive_words	azul	blue	blue				
item_510		descriptive_words	blanco	white			white		*
item_511	item_327	descriptive_words	bonita	pretty	pretty				
item_512		descriptive_words	bueno	okay		good	good		*
item_513	item_328	descriptive_words	caliente	hot	hot				
item_514	item_329	descriptive_words	cansado	tired	tired				
item_515		descriptive_words	chaparro	little one			short		*
item_516	item_330	descriptive_words	chico	boy	little (description)	little (description)	little (description)		*
item_517		descriptive_words	chulo	cute			cute		*
item_518		descriptive_words	descompuesto	out-of-order					
item_519		descriptive_words	despierto	awake			awake		*
item_520	item_333	descriptive_words	diferente	different	different				
item_521	item_334	descriptive_words	difícil	difficult	hard				
item_522		descriptive_words	duro	hard			tough		*
item_523	item_335	descriptive_words	enfermo	sick	sick				
item_524	item_336	descriptive_words	enojado	angry	angry				
item_525		descriptive_words	feliz	happy			happy		*
item_526	item_337	descriptive_words	feo	ugly	ugly				
item_527		descriptive_words	flaco	skinny			skinny	thin?	*
item_528	item_338	descriptive_words	frío	cold	cold				
item_529	item_339	descriptive_words	fuchi	yucky	yucky				
item_530		descriptive_words	fuerte	strong			strong		*
item_531		descriptive_words	gordo	fat			fat		*
item_532	item_340	descriptive_words	grande	great	big	big	big	big more suitable than great for the new_gloss	*
item_533	item_341	descriptive_words	guapo	handsome	cute				
item_534	item_342	descriptive_words	hambre	hunger	hungry				
item_535	item_343	descriptive_words	igual	equal	same				
item_536		descriptive_words	largo	long			long		*
item_537		descriptive_words	lento	slow			slow		*
item_538	item_344	descriptive_words	limpio	clean	clean (description)				
item_539		descriptive_words	linda	cute		female cute	cute		*
item_540	item_345	descriptive_words	lleno	full	full				
item_541	item_346	descriptive_words	malo	bad	bad				
item_542		descriptive_words	mejor	better off			better		*
item_543		descriptive_words	miedo/susto	scared	scared				
item_544		descriptive_words	mojado	wet			wet		*
item_545		descriptive_words	morado	purple			purple		*
item_546		descriptive_words	negro	black			black		*
item_547	item_348	descriptive_words	nuevo	new	new				
item_548	item_349	descriptive_words	oscuro	dark	dark				
item_549		descriptive_words	pegajoso	sticky			sticky		*
item_550		descriptive_words	peligroso	dangerous			dangerous		*
item_551	item_350	descriptive_words	pesado (peso)	heavy	heavy				*
item_552		descriptive_words	pobre	poor			poor		*
item_553		descriptive_words	primero	at first			first		*
item_554		descriptive_words	rápido (adjetivo descriptivo)	fast			fast		*
item_555	item_352	descriptive_words	rojo	red	red				
item_556		descriptive_words	rosa (color)	pink			pink		*
item_557	item_353	descriptive_words	roto	broken	broken				
item_558		descriptive_words	ruidoso	noisy			noisy		*
item_559		descriptive_words	seco	dry		dry (description)	dry (description)		*
item_560	item_355	descriptive_words	suave	soft	soft				
item_561	item_356	descriptive_words	sucio	dirty	dirty				
item_562		descriptive_words	tonto	silly			silly		
item_563		descriptive_words	tranquilo	quiet			quiet		
item_564		descriptive_words	travieso	naughty			naughty		*
item_565	item_358	descriptive_words	triste	sad	sad				
item_566		descriptive_words	último	last one			last		*
item_567	item_359	descriptive_words	vacío	empty	empty				
item_568	item_360	descriptive_words	verde	green	green				
item_569	item_361	descriptive_words	viejo	old	old				
item_570	item_317	time_words	ahorita/ahora	right now	now				
item_571		time_words	al rato	later			later		*
item_572		time_words	antes	before			before		*
item_573	item_318	time_words	ayer	yesterday	yesterday				
item_574	item_319	time_words	después	after	after				
item_575	item_320	time_words	día	day	day				
item_576		time_words	en la mañana	in the morning			morning		*
item_577		time_words	en la noche	at night			night		*
item_578		time_words	en la tarde	in the afternoon			afternoon		*
item_579	item_321	time_words	hoy	today	today				
item_580	item_322	time_words	mañana	tomorrow	tomorrow				
item_581	item_323	time_words	noche	night	night				
item_582	item_362	pronouns	aquel	that	that			demonstrative pronoun singular masculine (far away in distance)	*
item_583	item_363	pronouns	aquella	that	that			demonstrative pronoun singular feminine (far away in distance)	*
item_584		pronouns	aquellas	those			those	demonstrative pronoun plural feminine (far away in distance)	*
item_585		pronouns	aquellos	those			those	demonstrative pronoun plural masculine (far away in distance)	*
item_586	item_364	pronouns	él (pronombre personal)	he	he			personal pronoun 3SG masculine	*
item_587	item_365	pronouns	ella	she	her		she	I would replace her by she as the new unilemma. personal pronoun 3SG feminine	*
item_588	item_366	pronouns	ellas	they	they			personal pronoun 3PL femenine	*
item_589	item_367	pronouns	ellos	they	they			personal pronoun 3PL masculine	*
item_590	item_368	pronouns	esa	that	that			demonstrative pronoun singular feminine (half/midway distance)	*
item_591	item_369	pronouns	esas	those	those			demonstrative pronoun plural feminine (half/midway distance)	*
item_592	item_370	pronouns	ese	that	that			demonstrative pronoun singular masculine (half/midway distance)	*
item_593	item_371	pronouns	eso	that	that			demonstrative pronoun singular neutral (half/midway distance)	*
item_594	item_372	pronouns	esos	those	those			demonstrative pronoun plural masculine (half/midway distance)	*
item_595	item_373	pronouns	ésta	this	this			demonstrative pronoun singular feminine (close enough in distance)	*
item_596	item_374	pronouns	éstas	these	these			demonstrative pronoun plural feminine (close enough in distance)	*
item_597	item_375	pronouns	éste	this	this			demonstrative pronoun singular masculine (close enough in distance)	*
item_598	item_376	pronouns	esto	this	this			demonstrative pronoun singular neutral (close enough in distance)	*
item_599	item_377	pronouns	éstos	these	these			demonstrative pronoun plural masculine (close enough in distance)	*
item_600	item_378	pronouns	le	you	it			personal pronoun 3SG neutral (clitic - indirect object)	*
item_601	item_379	pronouns	les	them	them			personal pronoun 3PL neutral (clitic indirect object)	*
item_602	item_380	pronouns	lo	the	him			personal pronoun 3SG neutral (clitic)	*
item_603	item_381	pronouns	me	me	me			personal pronoun 1SG neutral (clitic)	*
item_604		pronouns	mí	my				prepositional pronoun 1SG neutral	*
item_605	item_382	pronouns	mía	mine	mine			possessive pronoun femenine singular (first person singular* in terms of who posseses; this applies to all possesive pronouns)	*
item_606	item_383	pronouns	mías	mine	mine			possessive pronoun femenine plural (first person singular)	*
item_607	item_384	pronouns	mío	mine	mine			possessive pronoun masculine singular (first person singular)	*
item_608	item_385	pronouns	míos	mine	mine			possessive pronoun masculine plural (first person singular)	*
item_609		pronouns	nosotros	we				personal pronoun 1PL masculine	*
item_610		pronouns	nuestro	our				possessive pronoun masculine singular (first person plural)	*
item_611	item_386	pronouns	se	self	self			personal pronoun 3SG/PL neutral (clitic) (impersonal)	*
item_612	item_387	pronouns	su	his	his			possessive adjective 2SG neutral	*
item_613		pronouns	suya	yours		hers	yours	possessive pronoun femenine singular (third person singular and plural)	*
item_614		pronouns	suyas	theirs		theirs	yours	possessive pronoun femenine plural (third person singular and plural)	*
item_615		pronouns	suyo	yours		his	yours	possessive pronoun masculine singular (third person singular and plural)	*
item_616		pronouns	suyos	yours		theirs	yours	possessive pronoun masculine plural (third person singular and plural)	*
item_617		pronouns	te (pronombre)	you				personal pronoun 2SG neutral (clitic)	*
item_618		pronouns	tí	you				prepositional pronoun 2SG neutral	*
item_619	item_389	pronouns	tú	you	you			personal pronoun 2SG neutral	*
item_620	item_390	pronouns	tuya	yours	your		yours	possessive pronoun femenine singular (second person singular)	*
item_621	item_391	pronouns	tuyas	yours	your		yours	possessive pronoun femenine plural (second person singular)	*
item_622	item_392	pronouns	tuyo	yours	your		yours	possessive pronoun masculine singular (second person singular)	*
item_623	item_393	pronouns	tuyos	yours	your		yours	possessive pronoun masculine plural (second person singular)	*
item_624	item_394	pronouns	yo	I	I			personal pronoun 1SG neutral	*
item_625	item_395	question_words	cómo	as	how	how		"as" as a gloss doesn't make sense for a question word, then I suggest to how as the new_gloss	*
item_626	item_396	question_words	cuál	which	which (question)				
item_627		question_words	cuándo	when			when		*
item_628		question_words	dónde	where	where (question)				
item_629	item_398	question_words	por qué	why	why				
item_630		question_words	qué (interrogativo)	what	what				*
item_631	item_400	question_words	quién	who	who				
item_632		prepositions	a	to	to				
item_633		prepositions	con	with	with				
item_634		prepositions	de	of	of				
item_635		prepositions	el (proposition)	the	the			the definition included a parenthesis that says "(propositions)". However, "el" is not a proposition; "el" is an article (SG masculine, definite article). I did not delete the parenthesis included in the definition. The same applies if propositions is just a typo (prepositions). 	*
item_636		prepositions	en	in	in				
item_637		prepositions	entre	in between	between				
item_638		prepositions	la	the	the			article SG femenine (definite article)	*
item_639		prepositions	las	the	the			article PL femenine (definite article)	*
item_640		prepositions	los	the	the			article PL masculine (definite article)	*
item_641		prepositions	para	for	for				
item_642		prepositions	pero	but	but			"pero" is not a preposition.	*
item_643		prepositions	un	a	a			article SG masculine (indefinite article)	*
item_644		prepositions	una	a	a			article SG femenine (indefinite article)	*
item_645		prepositions	unas	some	some			article PL femenine (indefinite article)	*
item_646		prepositions	unos	some	some			article PL masculine (indefinite article)	*
item_647		quantifiers	así	so			so		
item_648		quantifiers	bien	all right			well		
item_649		quantifiers	despacio	slowly			slowly		
item_650		quantifiers	mal	wrong			wrong		
item_651	item_409	quantifiers	más	more	more				
item_652	item_410	quantifiers	mucho	a lot	a lot				
item_653	item_411	quantifiers	nada	nothing	nothing				
item_654		quantifiers	no	do not					
item_655	item_412	quantifiers	no hay	there is no	none				
item_656	item_413	quantifiers	otro/otra vez	again	again				
item_657		quantifiers	poco/poquito	a little bit	little (amount)				
item_658		quantifiers	rápido (cuantificador/adverbio)	quickly	quickly				*
item_659		quantifiers	sí	yes	yes				
item_660	item_415	quantifiers	todo	all	all				
item_661	item_416	quantifiers	ya	already	already				
item_662	item_417	locations	abajo	down below	down				
item_663	item_418	locations	adentro	in	inside				
item_664	item_419	locations	afuera	outside	out				
item_665	item_420	locations	ahí	there	there				
item_666		locations	allá	there	there				
item_667		locations	allí	there	there				
item_668	item_422	locations	aquí	here	here				
item_669	item_423	locations	arriba	up	up				
item_670	item_424	locations	atrás	behind	back (location)				
item_671		locations	cerca	near	near				
item_672	item_425	locations	encima	above	on				
item_673		locations	enfrente	in front	in front				
item_674		locations	lejos	far away	far				
item_675		connecting_words	entonces	then	then				
item_676		connecting_words	luego	later	later				
item_677		connecting_words	o	or	or				
item_678		connecting_words	pues	for	for				
item_679		connecting_words	que (conector)	that	that				
item_680		connecting_words	y	and	and				
	item_9	sounds	pipí (sonido de coche/carro)	honk honk	honk honk			typo	*
	item_21	animals	cabra	goat	goat				
	item_52	vehicles	camión de bomberos	firetruck	firetruck				
	item_92	clothing	calcetines	socks	sock				
	item_109	body_parts	brazos	arms	arm				
	item_114	body_parts	dedos	fingers	finger				
	item_117	body_parts	manos (partes del cuerpo)	hand	hand				
	item_121	body_parts	orejas	ears	ear				
	item_138	household	bolsa	bag	purse				
	item_154	household	llaves	keys	keys				
	item_169	household	vaso	glass	glass			the word "vaso" is easier to understand than in the definition used for item_259 (row 260). The only difference is that here you use singular instead of plural (easier to understand).	*
	item_175	furniture_rooms	cochera/garaje	garage	garage				
	item_179	furniture_rooms	escalera	stairs	stairs				
	item_197	outside	calle	street	street				
	item_198	outside	campo	field	field				
	item_199	outside	casa	home	house				
	item_202	outside	escuela	school	school				
	item_204	outside	fiesta	party	party				
	item_206	outside	iglesia/templo	church	church				
	item_207	outside	jardín	garden	garden				
	item_212	outside	parque	park	park				
	item_215	outside	playa	beach	beach				
	item_219	outside	tienda/mercado	store	store				
	item_220	outside	zoológico	zoo	zoo				
	item_229	people	mamá/mami	mommy	mommy				
	item_235	people	papá/papi	daddy	daddy				
	item_244	games_routines	buenas día	good day	good morning			grammar mistake. it should be "buenos días" I checked the manual and the and it has the right one (buenos días)	*
	item_248	games_routines	hacer la meme	time to sleep	nap				
	item_250	games_routines	manos (juegos y rutinas)	hands up (game)	hands up				*
	item_251	games_routines	no	no	no				
	item_254	games_routines	¡salud! (expresión después de estornudar)	bless you	bless you				*
	item_255	games_routines	shh	shh	shh				
	item_256	games_routines	sí	yes	yes				
	item_259	games_routines	uno dos tres	one two three	one two three				
	item_261	action_words	acabar(se)	finish	finish				
	item_293	action_words	mojar(se)	to wet	wet (action)				
	item_305	action_words	secar(se)	dry	dry (action)				
	item_308	action_words	subir	to get up	climb				
	item_313	action_words	trabajar	to work	work (action)				
	item_314	action_words	ver	to see	see				
	item_324	time_words	temprano	early	early				
	item_331	descriptive_words	contento	happy	happy				
	item_332	descriptive_words	cuidado	careful	careful				
	item_347	descriptive_words	miedo	scared	scared				
	item_351	descriptive_words	poco	little	little (description)				
	item_354	descriptive_words	sed	thirsty	thirsty				
	item_357	descriptive_words	sueño	asleep	sleepy				
	item_388	pronouns	te (pronombre)	you	you				*
	item_397	question_words	dónde está	where is it	where (question)				
	item_399	question_words	qué	what	what				
	item_401	articles	el (artículo definido)	the	the			article SG masculine (definite article)	*
	item_402	articles	la	the	the			same as above	*
	item_403	articles	las	the	the			same as above	*
	item_404	articles	los	the	the			same as above	*
	item_405	articles	un	a	a			same as above	*
	item_406	articles	una	a	a			same as above	*
	item_407	articles	unas	a	a			same as above	*
	item_408	articles	unos	a	a			same as above	*
	item_414	quantifiers	también	also	also				
	item_421	locations	alla/allí	there	there				
	item_426	locations	de	of	of				
	item_427	locations	en	in	in				
	item_428	locations	para	for	for				
