WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes	
item_56		vehicles	trineo	sled	sled		sled		
item_57		vehicles	triciclo (vehículo)	tricycle	tricycle		tricycle		
item_58	item_57	vehicles	tren	train	train				
item_59		vehicles	tractor	tractor	tractor				
item_60	item_56	vehicles	moto	motorbike	motorcycle				
item_61		vehicles	helicóptero	helicopter	helicopter				
item_62	item_55	vehicles	carro/coche	car	car				
item_63	item_54	vehicles	carreola	stroller	stroller				
item_64	item_53	vehicles	camión/troca	camion	truck	truck		be aware that in Mexico people generally use camión rather than troca. The most accurate gloss for camión is truck. Troca is mostly used in northern Mexico or by mexican-americans. For that particular population troca means a pickup truck.	*
item_65		vehicles	camión de bombero	firetruck	firetruck				
item_66	item_51	vehicles	bicicleta	bike	bicycle	bicycle			*
item_67	item_50	vehicles	barco	boat	boat				
item_68	item_49	vehicles	avión	airplane	airplane				
item_69		vehicles	autobús	bus	bus		bus		
item_70	item_58	food_drink	agua	water	water (beverage)				
item_71	item_59	food_drink	arroz	rice	rice				
item_72	item_60	food_drink	atole	porridge	atole				
item_73		food_drink	atún	tuna fish	tuna (food)		tuna (food)		
item_74		food_drink	azúcar	sugar	sugar		sugar		
item_75	item_61	food_drink	café (bebida)	coffee	coffee				*
item_76		food_drink	calabaza	pumpkin	pumpkin		pumpkin		
item_77	item_62	food_drink	carne	meat	meat				
item_78	item_63	food_drink	cereal	cereal	cereal				
item_79		food_drink	chícharo	pea	pea		peas		
item_80		food_drink	chicle	chewing gum	gum		gum		
item_81	item_64	food_drink	chile (picante)	chili	chili				*
item_82		food_drink	chocolate	chocolate	chocolate		chocolate		
item_83	item_65	food_drink	comida	food	food				
item_84	item_66	food_drink	dulce (golosinas)	sweet candy	candy				*
item_85		food_drink	durazno	peach	peach		peach		
item_86		food_drink	ejotes	green beans	green bean		beans	I deleted the previous written new_uni_lemma "green bean" and replaced it with "beans"	*
item_87		food_drink	elote	corncob	corn		corn		
item_88		food_drink	espagueti	spaghetti	spaghetti		pasta	I deleted the previous written new_uni_lemma "spaghetti" and replaced with the new uni lemma "pasta"	*
item_89		food_drink	fresa	strawberry	strawberry		strawberry		
item_90	item_67	food_drink	frijoles	beans	beans				
item_91	item_68	food_drink	galleta	cookie	cookie				
item_92		food_drink	gelatina	jelly	jelly				
item_93		food_drink	hamburguesa	hamburger	hamburger		hamburger		
item_94	item_69	food_drink	helado/nieve (postre)	ice cream	ice cream		ice cream		*
item_95		food_drink	hielo	ice	ice				
item_96		food_drink	hot cakes	hotcakes	pancake		pancake		
item_97	item_70	food_drink	huevo	egg	egg				
item_98	item_71	food_drink	jamón	ham	ham				
item_99	item_72	food_drink	jugo	juice	juice				
item_100	item_73	food_drink	leche	milk	milk				
item_101		food_drink	licuado	smoothie	smoothie		smoothie		
item_102		food_drink	limonada	lemonade	lemonade		lemonade		
item_103		food_drink	cacahuete/maní	peanut	peanut		peanut		
item_104		food_drink	mantequilla	butter	butter		butter		
