WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1		sounds	aj aj	ouch			ouch	
item_2		sounds	brr	vroom	vroom			
item_3	item_2	sounds	bä bä	baa baa	baa baa			
item_4		sounds	grr	grr	grrr			
item_5	item_4	sounds	kuckeliku	cockadoodledoo	cockadoodledoo			
item_6	item_5	sounds	kvack kvack	quack quack	quack quack			
item_7	item_6	sounds	mjau	meow	meow			
item_8	item_7	sounds	mu	moo	moo			
item_9	item_8	sounds	nam nam	yum yum	yum yum			
item_10		sounds	pip pip	peep				
item_11	item_9	sounds	tuff tuff	choo choo	choo choo			
item_12	item_10	sounds	vov vov	woof woof	woof woof			
item_13	item_11	animals	anka	duck	duck			
item_14	item_12	animals	apa	monkey	monkey			
item_15	item_13	animals	bi	bee	bee			
item_16	item_14	animals	björn	bear	bear			
item_17	item_15	animals	djur	animal	animal			
item_18	item_16	animals	ekorre	squirrel	squirrel			
item_19	item_17	animals	elefant	elephant	elephant			
item_20		animals	fisk	fish	fish (animal)			
item_21		animals	fjäril	butterfly			butterfly	
item_22		animals	fluga	fly			fly (animal)	
item_23	item_19	animals	fågel	bird	bird			
item_24	item_20	animals	får	sheep	sheep			
item_25	item_21	animals	giraff	giraffe	giraffe			
item_26	item_22	animals	gris	pig	pig			
item_27	item_23	animals	groda	frog	frog			
item_28	item_24	animals	gås	goose	goose			
item_29		animals	hare	hare			hare	
item_30	item_25	animals	hund	dog	dog			
item_31	item_26	animals	häst	horse	horse			
item_32		animals	höna	hen			chicken (animal)	
item_33	item_27	animals	kanin	bunny	bunny			
item_34	item_28	animals	katt	cat	cat			
item_35	item_29	animals	kisse	kitty	kitty			
item_36	item_30	animals	ko	cow	cow			
item_37		animals	krokodil	crocodile			crocodile	
item_38	item_31	animals	kyckling (animal)	chicken	chicken (animal)			
item_39	item_32	animals	lamm	lamb	lamb			
item_40	item_33	animals	lejon	lion	lion			
item_41	item_34	animals	mus	mouse	mouse			
item_42		animals	mygga	mosquito			mosquito	
item_43		animals	myra	ant			ant	
item_44	item_35	animals	nalle	teddybear	teddybear			
item_45		animals	nasse	piggy			pig	
item_46		animals	nyckelpiga	ladybug			ladybug	
item_47	item_36	animals	pingvin	penguin	penguin			
item_48		animals	pippi	birdie			bird	
item_49	item_37	animals	ponny	pony	pony			
item_50		animals	råtta	rat			rat	
item_51	item_38	animals	skalbagge	bug	bug			
item_52	item_39	animals	sköldpadda	turtle	turtle			
item_53	item_40	animals	tiger	tiger	tiger			
item_54		animals	tupp	rooster			rooster	
item_55	item_41	animals	uggla	owl	owl			
item_56	item_42	animals	valp	puppy	puppy			
item_57		animals	varg	wolf			wolf	
item_58		animals	vovve	doggy			dog	
item_59		animals	zebra	zebra			zebra	
item_60	item_43	animals	åsna	donkey	donkey			
item_61		animals	älg	moose			moose	
item_62	item_44	vehicles	barnvagn	stroller	stroller			
item_63	item_45	vehicles	bil	car	car			
item_64	item_46	vehicles	brandbil	firetruck	firetruck			
item_65	item_47	vehicles	buss	bus	bus			
item_66		vehicles	båt	boat			boat	
item_67	item_48	vehicles	cykel	bicycle	bicycle			
item_68	item_49	vehicles	flygplan	airplane	airplane			
item_69		vehicles	helikopter	helicopter	helicopter			
item_70		vehicles	kälke	toboggan			sled	
item_71	item_50	vehicles	lastbil	truck	truck			
item_72	item_51	vehicles	motorcykel	motorcycle	motorcycle			
item_73	item_52	vehicles	traktor	tractor	tractor			
item_74		vehicles	trehjuling	tricycle			tricycle	
item_75	item_53	vehicles	tåg	train	train			
item_76	item_54	toys	ballong	ballon	balloon			
item_77	item_56	toys	boll	ball	ball			
item_78	item_57	toys	docka	doll	doll			
item_79		toys	klister	glue			glue	
item_80	item_58	toys	kloss	block	block			
item_81		toys	krita	chalk			chalk	
item_82		toys	lego	Lego			blocks	
item_83	item_59	toys	leksak	toy	toy (object)			
item_84		toys	lera	play dough			play dough	
item_85		toys	paket	present			present	
item_86	item_60	toys	penna	pen	pen/pencil			
item_87		toys	pulka	sledge			sled	
item_88		toys	pussel	puzzle			puzzle	
item_89		toys	saga	story			story	
item_90		toys	skidor	skies			skis	
item_91		toys	skridskor	skates			skates	
item_92		toys	spel	game			game	
item_93	item_61	toys	såpbubblor	bubbles	bubbles			
item_94	item_62	food_drink	apelsin	orange	orange (food)			
item_95		food_drink	bacon	bacon			bacon	
item_96	item_63	food_drink	banan	banana	banana			
item_97		food_drink	blodpudding	black pudding			sausage	
item_98	item_64	food_drink	bröd	bread	bread			
item_99		food_drink	bulle	bun			bun	
item_100		food_drink	chips	potato chips			chips	
item_101		food_drink	choklad	chocolate			chocolate	
item_102		food_drink	druvor	grapes			grapes	
item_103		food_drink	fil	soured milk				
item_104		food_drink	fiskbullar	fish-balls	fish (food)			
item_105		food_drink	fiskpinnar	fishfingers	fish (food)			
item_106	item_66	food_drink	flingor	cereal	cereal			
item_107	item_67	food_drink	glass	ice cream	ice cream			
item_108	item_68	food_drink	godis	candy	candy			
item_109		food_drink	grädde	cream			cream	
item_110		food_drink	gröt	porridge			porridge	
item_111		food_drink	gurka	cucumber			cucumber	
item_112		food_drink	hallon	rasberries			raspberry	
item_113		food_drink	hamburgare	hamburger			hamburger	
item_114		food_drink	is	ice			ice	
item_115		food_drink	jordgubbe	strawberry			strawberry	
item_116	item_69	food_drink	juice	juice	juice			
item_117	item_70	food_drink	kaffe	coffee	coffee			
item_118	item_71	food_drink	kaka	cookie	cookie			
item_119		food_drink	kaviar	caviar			caviar	
item_120	item_72	food_drink	kex	cracker	cracker			
item_121		food_drink	knäckebröd	crisp bread			cracker	
item_122		food_drink	korv	sausage			sausage	
item_123	item_73	food_drink	kyckling (food)	chicken	chicken (food)			
item_124	item_74	food_drink	kött	meat	meat			
item_125	item_75	food_drink	köttbullar	meatballs	meatball			
item_126		food_drink	lingon	lingonberries			berry	
item_127		food_drink	läsk	soda/pop			soda	
item_128		food_drink	macka	sandwich			sandwich	
item_129		food_drink	makaroner	macaroni			pasta	
item_130		food_drink	marmelad	marmelade			jam	
item_131	item_76	food_drink	mat	food	food			
item_132		food_drink	melon	melon			melon	
item_133		food_drink	messmör	soft whey butter				
item_134	item_77	food_drink	mjölk	milk	milk		milk	
item_135	item_78	food_drink	morot	carrot	carrots		carrot	
item_136		food_drink	nötter	nuts			nut	
item_137	item_79	food_drink	ost	cheese	cheese			
item_138	item_80	food_drink	pannkaka	pancake	pancake			
item_139	item_81	food_drink	pizza	pizza	pizza			
item_140		food_drink	pommes frites	french fries			french fries	
item_141		food_drink	popcorn	popcorn			popcorn	
item_142		food_drink	potatis	potato			potato	
item_143		food_drink	päron	pear			pear	
item_144	item_82	food_drink	ris	rice	rice			
item_145	item_83	food_drink	russin	raisin	raisin			
item_146		food_drink	saft	syrup			syrup	
item_147		food_drink	sallad	sallad			salad	
item_148		food_drink	salt	salt			salt	
item_149		food_drink	skinka	ham			ham	
item_150	item_87	food_drink	skorpa	biscuit	cracker			
item_151	item_84	food_drink	smör	butter	butter			
item_152		food_drink	smörgås	sandwich			sandwich	
item_153		food_drink	socker	sugar			sugar	
item_154		food_drink	soppa	soup			soup	
item_155	item_86	food_drink	spagetti	spaghetti	pasta			
item_156		food_drink	spenat	spinach			spinach	
item_157		food_drink	sås	sauce			sauce	
item_158		food_drink	tomat	tomato			tomato	
item_159		food_drink	tårta	cake			cake	
item_160	item_88	food_drink	vatten (beverage)	water	water (beverage)			
item_161		food_drink	vitaminer	vitamins			vitamin	
item_162		food_drink	välling	gruel			porridge	
item_163		food_drink	yoghurt	yogurt			yogurt	
item_164	item_89	food_drink	ägg	egg	egg			
item_165		food_drink	äppelmos	applesauce			applesauce	
item_166	item_90	food_drink	äpple	apple	apple			
item_167	item_91	food_drink	ärtor	peas	peas			
item_168		food_drink	ärtsoppa	peasoup			soup	
item_169	item_92	clothing	blixtlås	zipper	zipper			
item_170	item_93	clothing	blöja	diaper	diaper			
item_171	item_94	clothing	byxa	pants	pants			
item_172		clothing	gympaskor	sneaker			sneaker	
item_173	item_95	clothing	halsband	necklace	necklace			
item_174		clothing	halsduk	scarf			scarf	
item_175	item_96	clothing	jacka	jacket	jacket			
item_176	item_97	clothing	jeans	jeans	jeans			
item_177		clothing	kalsonger	underpants			underpants	
item_178		clothing	kappa	coat			coat	
item_179		clothing	kjol	skirt	skirt			
item_180		clothing	kläder	clothing			clothing	
item_181		clothing	klänning	dress	dress (object)			
item_182	item_98	clothing	knapp	button	button			
item_183		clothing	kortbyxor	shorts			shorts	
item_184	item_99	clothing	kängor	boots	boots			
item_185	item_100	clothing	mössa	hat	hat			
item_186	item_101	clothing	nattlinne	nightgown	nightgown			
item_187	item_102	clothing	overall	zip-suit	overalls			
item_188	item_103	clothing	pyjamas	pajamas	pajamas			
item_189	item_104	clothing	pärlor	beads	beads			
item_190		clothing	sandal	sandal			sandal	
item_191		clothing	shorts	shorts			shorts	
item_192	item_105	clothing	skjorta	shirt	shirt			
item_193	item_106	clothing	sko	shoe	shoe			
item_194		clothing	skärp	belt			belt	
item_195	item_107	clothing	socka	sock	sock			
item_196		clothing	strumpa	sock			sock	
