WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	item_102	sounds	aïe	Ouch	ouch			
item_2		sounds	bêêê bêêê	baaaah baaaah	baa baa			
item_3	item_109	sounds	cocorico	cockledoodledoo	cockadoodledoo			
item_4	item_108	sounds	coin coin	quack quack	quack quack			
item_5		sounds	grr	grr	grrr			
item_6	item_104	sounds	miam miam	yum yum	yum yum			
item_7	item_105	sounds	miaou	meow	meow			
item_8	item_106	sounds	meuh	moo	moo			
item_9	item_103	sounds	oh oh	Oh oh	uh oh			
item_10	item_101	sounds	tchou tchou	Choo Choo	choo choo			
item_11	item_100	sounds	vroum	vroom	vroom			
item_12	item_99	sounds	wouf wouf	woof woof	woof woof			
item_13	item_98	animals	abeille	bee	bee			
item_14		animals	agneau	lamb	lamb			
item_15		animals	alligator/crocodile	alligator / crocodile	crocodile			
item_16	item_97	animals	âne	donkey	donkey			
item_17	item_96	animals	animal	animal	animal			
item_18	item_95	animals	bibitte	bug	bug			
item_19	item_94	animals	canard	duck	duck			
item_20	item_93	animals	chat	cat	cat			
item_21	item_91	animals	cheval	horse	horse			
item_22		animals	chevreuil	roe deer	deer			
item_23	item_90	animals	chien	dog	dog			
item_24	item_88	animals	cochon	pig	pig			
item_25		animals	coq	cock	rooster			
item_26		animals	dinde	turkey	turkey			
item_27	item_87	animals	écureuil	squirrel	squirrel			
item_28	item_86	animals	éléphant	elephant	elephant			
item_29		animals	fourmi	ant	ant			
item_30	item_85	animals	girafe	giraffe	giraffe			
item_31	item_84	animals	grenouille	frog	frog			
item_32	item_83	animals	hibou	owl	owl			
item_33	item_82	animals	lapin	rabbit	bunny			
item_34	item_81	animals	lion	Lion	lion			
item_35		animals	loup	wolf	wolf			
item_36	item_80	animals	mouton	sheep	sheep			
item_37		animals	oie	goose	goose			
item_38	item_79	animals	oiseau	bird	bird			
item_39		animals	orignal	moose	moose			
item_40	item_78	animals	ours	bear	bear			
item_41	item_77	animals	ourson/nounours	Bear / Teddy	teddybear			
item_42		animals	panda	panda	panda			
item_43	item_76	animals	papillon	butterfly	butterfly			
item_44		animals	pingouin	Penguin	penguin			
item_45	item_75	animals	poisson (animal)	fish	fish (animal)			
item_46	item_74	animals	poule	hen	chicken (animal)			
item_47		animals	poulet (animal)	chicken	chicken (animal)			
item_48	item_73	animals	singe	monkey	monkey			
item_49	item_72	animals	souris	mouse	mouse			
item_50	item_71	animals	tigre	tiger	tiger			
item_51	item_70	animals	tortue	tortoise	turtle			
item_52	item_69	animals	vache	cow	cow			
item_53		animals	zèbre	zebra	zebra			
item_54	item_68	vehicles	auto	auto	car			
item_55	item_67	vehicles	autobus	bus	bus			
item_56	item_66	vehicles	avion	plane	airplane			
item_57		vehicles	bateau	boat	boat			
item_58	item_65	vehicles	bicyclette	bicycle	bicycle			
item_59	item_64	vehicles	camion	truck	truck			
item_60	item_63	vehicles	camion de pompier	fire truck	firetruck			
item_61		vehicles	hélicoptère	helicopter	helicopter			
item_62	item_62	vehicles	moto	motorbike	motorcycle			
item_63		vehicles	poussette	stroller	stroller			
item_64		vehicles	tracteur	tractor	tractor			
item_65	item_60	vehicles	train	train	train			
item_66		vehicles	traîneau	sled	sled			
item_67		vehicles	tricycle	tricycle	tricycle			
item_68	item_59	toys	balle	ball	ball			
