WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_22	animals	crocodile	crocodile	crocodile			
item_23	animals	ant/bug	ant/bug	bug			
item_24	animals	bear	bear	bear			
item_25	animals	bee	bee	bee			
item_26	animals	bird/chicken	bird/chicken	bird			
item_27	animals	bunny/rabbit	bunny/rabbit	bunny			
item_28	animals	butterfly	butterfly	butterfly			
item_29	animals	cat	cat	cat			
item_30	animals	cow	cow	cow			
item_31	animals	deer	deer	deer			
item_32	animals	dog	dog	dog			
item_33	animals	donkey	donkey	donkey			
item_34	animals	duck	duck	duck			
item_35	animals	elephant	elephant	elephant			
item_36	animals	fish	fish	fish (animal)			
item_37	animals	frog	frog	frog			
item_38	animals	giraffe	giraffe	giraffe			
item_39	animals	hen	hen	hen			
item_40	animals	horse	horse	horse			
item_41	animals	lion	lion	lion			
item_42	animals	monkey	monkey	monkey			
item_43	animals	mouse	mouse	mouse			
item_44	animals	owl	owl	owl			
item_45	animals	pig	pig	pig			
item_46	animals	rooster	rooster	rooster			
item_47	animals	sheep	sheep	sheep			
item_48	animals	snake	snake	snake			
item_49	animals	squirrel	squirrel	squirrel			
item_50	animals	tiger	tiger	tiger			
item_51	animals	turkey	turkey	turkey			
item_52	animals	turtle	turtle	turtle			
item_53	animals	wolf	wolf	wolf			
item_54	clothing	belt	belt			belt	
item_55	clothing	bib	bib	bib			
item_56	clothing	boot	boot	boots			
item_57	clothing	button	button	button			
item_58	clothing	clothes/dress	clothes/dress	dress (object)			
item_59	clothing	coat/jacket	coat/jacket	coat			
item_60	clothing	nappy	nappy	diaper			
item_61	clothing	earring	earring			earring	
item_62	clothing	gloves	gloves	gloves			
item_63	clothing	hat	hat	hat			
item_64	clothing	hearing aid	hearing aid				
item_65	clothing	necklace	necklace	necklace			
item_66	clothing	pyjamas	pyjamas	pajamas			
item_67	clothing	trousers	trousers	pants			
item_68	clothing	scarf	scarf	scarf			
item_69	clothing	shirt	shirt	shirt			
item_70	clothing	shoe	shoe	shoe			
item_71	clothing	shorts	shorts	shorts			
item_72	clothing	snowsuit	snowsuit	snowsuit			
item_73	clothing	sock	sock	sock			
item_74	clothing	cardigan/jumper	cardigan/jumper	sweater			
item_75	clothing	tights	tights	tights			
item_76	clothing	knickers/pants	knickers/pants	underpants			
item_77	clothing	zip	zip	zipper			
item_78	household	plaster	plaster			bandaid	
item_79	household	basket	basket			basket	
item_80	household	blanket	blanket	blanket			
item_81	household	bottle	bottle	bottle			
item_82	household	box	box	box			
item_83	household	bowl	bowl	bowl			
item_84	household	broom	broom	broom			
item_85	household	brush	brush	brush (object)			
item_86	household	camera	camera	camera			
item_87	household	comb	comb	comb (object)			
item_88	household	fork	fork	fork			
item_89	household	glass	glass	glass			
item_90	household	glasses	glasses	glasses			
item_91	household	hammer	hammer	hammer			
item_92	household	jar	jar	jar			
