WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1		sounds	aie	ouch	ouch			
item_2		sounds	allo			hello	hello	
item_3		sounds	bêê bêê			baa baa	baa baa	
item_4	item_39	sounds	cocorico	cockadoodledoo	cockadoodledoo			
item_5		sounds	coin coin	quack quack	quack quack			
item_6	item_41	sounds	grrrr	grrr	grrr			
item_7	item_42	sounds	meuh	moo	moo			
item_8		sounds	miam miam	yum yum	yum yum			
item_9	item_44	sounds	miaou	meow	meow			
item_10		sounds	oh oh	uh oh	uh oh			
item_11		sounds	ouaf ouaf			woof woof	woof woof	
item_12	item_47	sounds	tchou tchou	choo choo	choo choo			
item_13	item_48	sounds	vroum	vroom	vroom			
item_14	item_49	games_routines	ainsi font font	??				
item_15	item_51	games_routines	au revoir	bye	bye			
item_16	item_52	games_routines	bain	bath	bath			
item_17	item_53	games_routines	bonjour	hi	hi			
item_18	item_54	games_routines	bonne nuit	good night	good night			
item_19	item_55	games_routines	bravo	bravo	bravo			
item_20	item_605	games_routines	ce petit cochon	??		this little piggy	this little piggy	
item_21	item_56	games_routines	chut	shh	shh			
item_22	item_57	games_routines	coucou	peekaboo	peekaboo			
item_23	item_600	games_routines	coup de fil	phone call				
item_24	item_58	games_routines	déjeuner	lunch	lunch			
item_25	item_59	games_routines	dîner	dinner	dinner			
item_26		games_routines	faire les courses	go shopping		shopping	shopping	
item_27	item_599	games_routines	goûter			taste	taste	snacktime?
item_28	item_602	games_routines	je vais t'attraper	I will catch you				
item_29	item_60	games_routines	merci	thank you	thank you			
item_30	item_61	games_routines	ne fais pas	don’t do		don't	don't	
item_31	item_62	games_routines	non	no	no			
item_32	item_63	games_routines	oui	yes	yes			
item_33	item_64	games_routines	petit déjeuner	breakfast	breakfast			
item_34		games_routines	s'il te plait	please	please			
item_35	item_66	games_routines	salut	hi	hi			
item_36	item_67	games_routines	sieste	nap	nap			
item_37	item_601	games_routines	top là					
item_38	item_604	games_routines	tourne-toi	turn around				
item_39	item_603	games_routines	va sur le pot					
item_40	item_315	vehicles	avion	airplane	airplane			
item_41	item_519	vehicles	bateau	boat	boat			
item_42	item_316	vehicles	bus	bus	bus			
item_43	item_317	vehicles	camion	truck	truck			
item_44	item_318	vehicles	camion de pompier	firetruck	firetruck			
item_45	item_520	vehicles	hélicoptère	helicopter	helicopter			
item_46	item_319	vehicles	moto	motorcycle	motorcycle			
item_47	item_320	vehicles	poussette	stroller	stroller			
item_48	item_522	vehicles	tracteur	tractor	tractor			
item_49	item_321	vehicles	train	train	train			
item_50		vehicles	traineau	sled	sled			
item_51	item_523	vehicles	tricycle	tricycle			tricycle	
item_52	item_322	vehicles	vélo	bicycle	bicycle			
item_53	item_323	vehicles	voiture	car	car			
item_54	item_69	animals	abeille	bee	bee			
item_55	item_70	animals	agneau	lamb	lamb			
item_56	item_71	animals	âne	donkey	donkey			
item_57	item_72	animals	animal	animal	animal			
item_58	item_73	animals	bébé chat	kitty	kitty			
item_59	item_74	animals	bébé chien	puppy	puppy			
item_60	item_75	animals	biche	deer	deer			
item_61	item_76	animals	canard	duck	duck			
item_62	item_77	animals	chat	cat	cat			
item_63	item_78	animals	cheval	horse	horse			
item_64	item_79	animals	chèvre	goat	goat			
item_65	item_80	animals	chien	dog	dog			
item_66	item_81	animals	cochon	pig	pig			
item_67	item_538	animals	coq	rooster	rooster			
item_68	item_535	animals	crocodile	crocodile	crocodile			
item_69	item_82	animals	dindon	turkey	turkey			
item_70	item_83	animals	écureuil	squirrel	squirrel			
item_71	item_84	animals	éléphant	elephant	elephant			
item_72	item_536	animals	fourmi	ant	ant			
item_73	item_85	animals	girafe	giraffe	giraffe			
item_74	item_86	animals	grenouille	frog	frog			
item_75	item_87	animals	hibou	owl	owl			
item_76	item_88	animals	lapin	bunny	bunny			
item_77	item_89	animals	lion	lion	lion			
item_78	item_539	animals	loup	wolf	wolf			
item_79	item_90	animals	mouton	sheep	sheep			
item_80	item_91	animals	nounours	teddybear	teddybear			
item_81	item_92	animals	oie	goose	goose			
item_82	item_93	animals	oiseau	bird	bird			
item_83	item_94	animals	ours	bear	bear			
