WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1		sounds	אוי/ איה	ouch	ouch			
item_2		sounds	אי-אה	hee-haw	hee haw			
item_3		sounds	בזז...	bzz..	bzzz			
item_4		sounds	גע גע	quack quack	quack quack			
item_5		sounds	האו/ הב הב	woof woof	woof woof			
item_6	item_35	sounds	הופה	hoppe		hoppa	wow	closest to "whoa" or "wow"
item_7		sounds	הם/ מ מ...מ	yum yum	yum yum			
item_8		sounds	וון וון/ הנ/ ברר	vroom vroom	vroom			
item_9	item_38	sounds	מה מה	baa baa	baa baa			
item_10	item_39	sounds	מו	moo	moo			
item_11	item_40	sounds	מיאו	meow	meow			
item_12	item_41	sounds	ציף ציף	tweet tweet	tweet tweet			
item_13		sounds	צ'יק צ'יק צ'אק	choo choo	choo choo			
item_14	item_43	sounds	קוקוריקו	cockadoodledoo	cockadoodledoo			
item_15		sounds	שש...ש	shh shh...	shh			
item_16		animals	אווז	goose	goose			
item_17		animals	אייל/ צבי/ במבי	deer \ bambi	deer			
item_18	item_46	animals	אפרוח	baby chick	chick			
item_19	item_47	animals	אריה	lion	lion			
item_20	item_48	animals	ברווז	duck	duck			
item_21		animals	ג'וק/ תיקן	bug	bug			
item_22	item_50	animals	גור	puppy	puppy			
item_23	item_51	animals	ג'ירפה	giraffe	giraffe			
item_24	item_52	animals	דבורה	bee	bee			
item_25	item_53	animals	דג	fish (animal)	fish (animal)			
item_26		animals	דב/ דובי	bear \ teddybear	bear			
item_27		animals	היפופוטם	hippo	hippopotamus	hippopotamus		 היפופוטם is the longer version
item_28	item_55	animals	זאב	wolf	wolf			
item_29	item_56	animals	זבוב	fly	fly (animal)			
item_30		animals	זברה	zebra	zebra			
item_31	item_58	animals	חיה	animal	animal			
item_32	item_59	animals	חיפושית	beetle			beetle	bug?
item_33	item_60	animals	חמור	donkey	donkey			
item_34	item_61	animals	חתול	cat	cat			
item_35	item_62	animals	טווס	peacock	peacock			
item_36	item_63	animals	טלה	lamb	lamb			
item_37		animals	יונה	pigeon			pigeon	
item_38	item_64	animals	ינשוף	owl	owl			
item_39	item_65	animals	כבשה	sheep	sheep			
item_40	item_66	animals	כלב	dog	dog			
item_41	item_67	animals	נחש	snake	snake			
item_42		animals	נמלה	ant	ant			
item_43	item_68	animals	נמר	tiger	tiger			
item_44	item_69	animals	סוס	horse	horse			
item_45	item_70	animals	סנאי	squirrel	squirrel			
item_46	item_71	animals	עכבר	mouse	mouse			
item_47	item_72	animals	פיל	elephant	elephant			
item_48	item_73	animals	פינגווין	penguin	penguin			
item_49	item_74	animals	פרה	cow	cow			
item_50	item_75	animals	פרפר	butterfly	butterfly			
item_51	item_76	animals	צב	turtle	turtle			
item_52	item_77	animals	ציפור	bird	bird			
item_53	item_78	animals	צפרדע	frog	frog			
item_54	item_79	animals	קוף	monkey	monkey			
