WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	item_29	sounds	а-а-а		weee	ahhh (revelation, scary), weee (excitment), 		meaning? agree, it can mean scary or surprise/revelation or excitement and it all will be translated differently, I gave some versions
item_2	item_30	sounds	ав	Woof-woof	woof woof			
item_3	item_31	sounds	алё	Ring-ring	hello	hello		
item_4	item_32	sounds	ам-ам/ням-ням	Yum-yum	yum yum			actually first one is pre-food/sound to encourage a child to eat, the second one is immitating the chewing sound and expressing tasteness of food
item_5	item_33	sounds	бе	Baa-baa	baa baa			sheep? then in russian you probably should say бе-е-е but prob not that important 
item_6	item_34	sounds	биби	Beep-beep	beep beep			(car) ?
item_7	item_35	sounds	бл-бл	Gooble-gooble	gobble gobble			
item_8	item_36	sounds	брр/ввв и т.п.	Vroom	vroom	brrr		брр can also mean cold or not-understanding (made a new gloss), but for a car it is correct
item_9	item_37	sounds	бух/бах/бам	Thump	thump			
item_10	item_38	sounds	га-га	Honk-honk	honk honk			
item_11	item_39	sounds	динь-динь	Ding-a-ling	ring ring			
item_12	item_40	sounds	жж	Bzzz	bzzz		buzz	
item_13	item_41	sounds	иа	E-haw	hee haw			
item_14	item_42	sounds	иго-го/цока-ющий звук	neigh-neigh	neigh			
item_15	item_43	sounds	кап-кап	Pit-a-pat	drip drop			
item_16	item_44	sounds	кар	Caw	caw			
item_17	item_45	sounds	ква	Croak-croak	croak		ribbit	
item_18	item_46	sounds	ко-ко	Cluck-cluck	cluck			
item_19	item_47	sounds	кря	quack -quack	quack quack			
item_20	item_48	sounds	кукареку	Cock-a-doodle-do	cockadoodledoo			
item_21	item_49	sounds	ля-ля-ля	Lah-lah	lah lah			
item_22	item_50	sounds	ме	Bleat/Baa	baa baa			
item_23	item_51	sounds	му	Moo-moo	moo			
item_24	item_52	sounds	мяу	Meow	meow			
item_25	item_53	sounds	пи-пи	Squeak-squeak	squeak			
item_26	item_54	sounds	прыг	Hop-hop	hop	hop		if you use single one in ru, it is prob single one in eng as well
item_27	item_55	sounds	ррр	Grrrr	grrr			
item_28	item_56	sounds	тик-так	Tick-tock	tick tock			
item_29	item_57	sounds	топ-топ	Stomp-stomp	stomp stomp			
item_30	item_58	sounds	тсс	Shh	shh			
item_31	item_59	sounds	тук-тук	Rat-a-tat	knock knock	knock knock		
item_32	item_60	sounds	ту-ту/чух-чух	Choo-choo	choo choo			
item_33	item_61	sounds	уу	Awooooo	awoo			meaning?
item_34	item_62	sounds	фу		yucky	ew, pee-yoo		
item_35	item_63	sounds	хрр/хрю	Oink-oink	oink			
item_36	item_64	sounds	чик	Click-click	click	chop	chop	if you use single one in ru, it is prob single one in eng as well
item_37	item_65	sounds	шш	Sss	sss	shh	shh	hiss? hiss for russian prob will be ссс and шш is more like тсс - like be silent or behave
item_38	item_66	animals	бабочка	butterfly	butterfly			
item_39		animals	баран	lamb	sheep	sheep		
item_40		animals	бегемот	hippopotamus	hippopotamus	hippo		
item_41	item_68	animals	белка	squirrel	squirrel			
item_42	item_69	animals	волк	wolf	wolf			
item_43		animals	воробей	sparrow	sparrow			
item_44	item_70	animals	ворона	crow	crow			
item_45		animals	голубь	pigeon	pigeon			
item_46	item_71	animals	гусь	goose	goose			
item_47	item_72	animals	ёж	hedgehog	hedgehog			
item_48	item_73	animals	жираф	giraffe	giraffe			
item_49	item_74	animals	жук	bug	bug	beetle	beetle	
item_50	item_75	animals	заяц	hare	bunny	hare	hare	
item_51		animals	звери	animals	animal			
item_52	item_76	animals	змея	snake	snake			
item_53	item_78	animals	коза	goat	goat			
item_54		animals	комар	mosquito	mosquito			
item_55		animals	конь	horse	stallion	stallion, horse	horse	
item_56	item_79	animals	корова	cow	cow			
item_57	item_80	animals	кошка	cat	cat			
item_58		animals	крокодил	crocodile	alligator		crocodile 	
item_59		animals	курица (animal)	hen	chicken (animal)	chicken 		
item_60	item_82	animals	лев	lion	lion			
item_61	item_83	animals	лиса	fox	fox			
item_62		animals	лошадь	horse	horse			
item_63	item_85	animals	лягушка	frog	frog			
item_64	item_86	animals	медведь	bear	bear			
item_65	item_87	animals	муха	fly	fly (animal)			
item_66	item_88	animals	мышка	mouse	mouse	mousey?		cute version of mouse
item_67	item_89	animals	обезьяна	monkey	monkey			
item_68		animals	овечка	sheep	sheep			cute version of sheep
item_69		animals	ослик	donkey	donkey			cute version of donkey
item_70	item_90	animals	петух	rooster	rooster			
item_71		animals	поросенок	piglet	piglet			
