WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	item_1	sounds	Ah! (surpresa)	Ah (interjection, surprise)	oh			
item_2	item_2	sounds	Ai!	Ai (interjection, hurting)	ouch			
item_3	item_3	sounds	Au Au / Ão Ão (cão)	Au_Au (dog barking)	woof woof			
item_4	item_4	sounds	Chiu!	Chiu (interjection, asking silence)	shh			
item_5		sounds	Cocoró (galo / galinha)	Cócóró (cock singing)	cockadoodledoo			
item_6	item_6	sounds	Cu-cu	Cu_cu (playing Peekaboo)				
item_7	item_7	sounds	Eh!	Eh (interjection)	oh			
item_8	item_8	sounds	Ena!	Ena (interjection, surprise)	oh			
item_9	item_9	sounds	Hi-hi (cavalo)	Hi_hi (horse's sound)	neigh			
item_10	item_10	sounds	I-ó / I-ó (burro)	Ió_ió (donkey's sound)	hee haw			
item_11	item_11	sounds	Mé mé (ovelha)	Mé_mé (sheep's sound)	baa baa			
item_12	item_12	sounds	Miau miau (gato)	Miau (cat's sound)	meow			
item_13	item_13	sounds	Mu-Muuu (vaca)	Mu_muuu (cow's sound)	moo			
item_14	item_14	sounds	Oh!	Oh (interjection)	oh			
item_15	item_15	sounds	Piu-piu (pintainho)	Piu_piu (baby chicken sound)				
item_16	item_16	sounds	Pumba! / Pum!	Pumba_pum (interjection, used to indicate that something or someone fell)			uh oh	
item_17	item_17	sounds	Quá-Quá (pato)	Quá_quá (duck's sound)	quack quack			
item_18	item_18	sounds	Vrum-vrum (carro)	Vrum_vrum (car's sound)	vroom vroom			
item_19	item_19	sounds	Tinoni (ambulância)	Tinoni (ambulance's sound)				
item_20	item_20	sounds	Ui!	Ui (interjection, hurting)	ouch			
item_21	item_21	sounds	Uau!	Uau (interjection, surprise)	oh			
item_22	item_22	sounds	Upa, upa (levantar)	Upa_Upa (interjection, usually used when asking for or being lifted up)				
item_23	item_23	animals	Abelha	Bee	bee			
item_24		animals	Aranha	Spider	spider			
item_25		animals	Baleia	Whale			whale	
item_26		animals	Barata	Cockroach			cockroach	
item_27	item_24	animals	Bicho	Animal	animal	bug		
item_28	item_25	animals	Boi	Ox			ox	
item_29		animals	Borboleta	Butterfly	butterfly			
item_30	item_26	animals	Burro	Donkey	donkey			
item_31		animals	Camelo	Camel			camel	
item_32	item_27	animals	Cão	Dog	dog			
item_33		animals	Caracol	Snail			snail	
item_34		animals	Carneiro	Ram/ male sheep	sheep			
item_35	item_28	animals	Cavalo	Horse	horse			
item_36	item_29	animals	Cobra	Snake	snake			
item_37	item_30	animals	Coelho	Rabbit			bunny	
item_38		animals	Crocodilo	Crocodile	crocodile			
item_39		animals	Dinossauro	Dinosaur			dinosaur	
item_40	item_31	animals	Elefante	Elephant	elephant			
item_41		animals	Foca	Seal			seal (animal)	
item_42		animals	Formiga	Ant	ant			
item_43		animals	Gaivota	Seagull			seagull	
item_44		animals	Galinha / Pintainho	Hen/chicken	chicken (animal)			
item_45	item_32	animals	Gato	Cat	cat			
item_46		animals	Girafa	Girafe	giraffe	giraffe		
item_47		animals	Golfinho	Dolphin			dolphin	
item_48		animals	Hipopótamo	Hippopotamus	hippopotamus			
item_49		animals	Joaninha	Ladybug	ladybug			
item_50	item_33	animals	Leão	Lion	lion			
item_51		animals	Lobo	Wolf	wolf			
item_52	item_34	animals	Macaco	Monkey	monkey			
item_53		animals	Melga	Gnat	mosquito	mosquito		
item_54	item_35	animals	Mosca	Fly	fly (animal)			
item_55		animals	Mosquito	Mosquito	mosquito			
item_56		animals	Ovelha	Ewe/ female sheep	sheep			
item_57	item_36	animals	Panda	Panda			panda	
item_58	item_37	animals	Pássaro	Bird	bird			
item_59	item_38	animals	Pato	Duck	duck			
item_60	item_39	animals	Peixe	Fish	fish (animal)			
