WS	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	sounds	beee	baa baa (sheep)	baa baa			
item_2	sounds	brekeke	ribbit (frog)			ribbit	
item_3	sounds	brumm	grrr (bear)	grrr			
item_4	sounds	cin	squeak (mouse)	squeak			
item_5	sounds	csihuhu	choo-choo (train)	choo choo			
item_6	sounds	gá-gá	honk (goose)				
item_7	sounds	háp-háp	quack quack (duck)	quack quack			
item_8	sounds	ham-ham	yum yum	yum yum			
item_9	sounds	hoppá	oops			oops	
item_10	sounds	hu-hu	whoo-whoo (owl)			hoot	
item_11	sounds	jaj	ouch	ouch			
item_12	sounds	kukurikú	cockadoodledoo (rooster)	cockadoodledoo			
item_13	sounds	mak	squeak (rabbit)	squeak			
item_14	sounds	mek	naa (goat)				baa baa?
item_15	sounds	miaú	meow (cat)	meow			
item_16	sounds	mú	moo (cow)	moo			
item_17	sounds	nyamm	yum yum	yum yum			
item_18	sounds	nyihaha	neigh (horse)	neigh			
item_19	sounds	nínó	wee-woo (ambulance)				
item_20	sounds	pá-pá	bye-bye (goodbye)				
item_21	sounds	pi-pi	chirp (chicken)				peep?
item_22	sounds	tü-tű	honk (car horn)				beep beep?
item_23	sounds	röf-röf	oink (pig)	oink			
item_24	sounds	vaú-vaú	woof woof	woof woof			
item_25	animals	állat	animal	animal			
item_26	animals	bagoly	owl	owl			
item_27	animals	bárány	sheep	sheep			
item_28	animals	béka	frog	frog			
item_29	animals	boci	calf	calf			
item_30	animals	bogár	bug	bug			
item_31	animals	cica	kitty	kitty			
item_32	animals	csacsi	neddy			donkey	
item_33	animals	csirke	chicken	chicken (animal)			
item_34	animals	egér	mouse	mouse			
item_35	animals	elefánt	elephant	elephant			
item_36	animals	farkas	wolf	wolf			
item_37	animals	hal	fish	fish (animal)			
item_38	animals	hangya	ant	ant			
item_39	animals	kacsa	duck	duck			
item_40	animals	kakas	rooster	rooster			
item_41	animals	kecske	goat	goat			
item_42	animals	krokodil	alligator		crocodile	crocodile	
item_43	animals	kutya	dog	dog			
item_44	animals	lepke	butterfly	butterfly			
item_45	animals	liba	goose	goose			
item_46	animals	ló	horse	horse			
item_47	animals	macska	cat	cat			
item_48	animals	madár	bird	bird			
item_49	animals	majom	monkey	monkey			
item_50	animals	malac	pig	pig			
item_51	animals	medve	bear	bear			
item_52	animals	mókus	squirrel	squirrel			
item_53	animals	nyuszi	bunny	bunny			
