WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	item_1	sounds	Baa baa	Sheep	baa baa			
item_2	item_2	sounds	chri chri chri	bird				peep / chirp?
item_3		sounds	Heoo heoo	Donkey			hee haw	
item_4		sounds	Hua	Dove			coo	
item_5		sounds	Huo huo	Dog			woof woof	
item_6		sounds	Khe khe khe	Duck			quack quack	
item_7	item_5	sounds	Kima	monkey	monkey			
item_8		sounds	Kru kru kru	Chicken calling chicks				
item_9	item_6	sounds	Kukuriukuu	Cockerel	cockadoodledoo			
item_10	item_8	sounds	Kunguru	Crow	crow			
item_11	item_11	sounds	miau miau	Cat	meow			
item_12	item_10	sounds	mmee mmee	Goat	baa baa			
item_13	item_12	sounds	mooh mooh	Cow	moo			
item_14		sounds	Pikipiki	Motorbike				
item_15	item_13	sounds	Simu	Phone				ring ring?
item_16	item_14	sounds	Tamu tamu	Sweetness			yum yum	
item_17		sounds	Umia	Ouch			ouch	
item_18		sounds	Vruum vruum	Car	vroom			
item_19	item_16	animals	Bata	Duck	duck			
item_20		animals	Bata mzinga	Turkey	goose			
item_21		animals	Buibui	Spider	spider			
item_22		animals	Chungu/Mchwa	Ant			ant	
item_23	item_17	animals	Chura	Frog	frog			
item_24		animals	Farasi	Horse	horse			
item_25		animals	Jimbi/jogoo	Cockerel	chicken (animal)			
item_26		animals	Jongoo	Millipede	chicken (animal)			
item_27		animals	Kipepeo	Butterfly	butterfly			
item_28		animals	Kobe	Tortoise	turtle			
item_29		animals	Kombamwiko	cockroach			cockroach	
item_30		animals	Kondoo	Sheep	sheep			
item_31	item_18	animals	Koo	Hen			hen	
item_32	item_19	animals	Kuku	Chicken			chicken (animal)	
item_33		animals	Kunguni	Bed bug				
item_34	item_20	animals	Kunguru/Kurabu	Crow	crow			
item_35		animals	Mbu	Mosquito	mosquito			
item_36	item_22	animals	Mbuzi/Mee	Goat	goat			
item_37	item_21	animals	Mbwa/Jibwa	Dog	dog			
item_38	item_23	animals	Mdudu	Insect	bug			
item_39	item_24	animals	Mnyama	Animal	animal			
item_40		animals	Mujusi kafiri	Lizard			lizard	
item_41		animals	Mwanambwa	Puppy	puppy			
item_42	item_25	animals	Ng'ombe/Boo	Cow	cow			
item_43	item_30	animals	Nyani/kima/tumbili	Monkey	monkey			
item_44		animals	Nyoka	snake	snake			
item_45		animals	Nyuki	Bee	bee			
item_46	item_29	animals	Nyuni/ndege/Njiwa	Bird	bird			
item_47		animals	Nzi	House Fly			fly (animal)	
item_48	item_26	animals	Paka/Nyau	Cat	cat			
item_49	item_27	animals	Panya	Rat/Mouse	mouse			
item_50		animals	Popo	Bat	bat			
item_51		animals	Punda	Donkey	donkey			
item_52		animals	Punda milia/Zebra	Zebra	zebra			
item_53	item_28	animals	Samaki	Fish			fish (animal)	
item_54		animals	Simba	Lion	lion			
item_55		animals	Sungura	Hare	bunny			
item_56		animals	Tembo/ndovu	Elephant	elephant			
item_57	item_31	vehicles	Baiskeli	Bicycle	bicycle			
item_58		vehicles	Basi/Buscar	Bus	bus			
item_59		vehicles	Dau/mashua/mtumbwi/boat	Small boat			boat	
item_60		vehicles	Dukwama/Mkokoteni	Handcart			cart	
item_61		vehicles	Gari la moshi	Train	train			
item_62	item_32	vehicles	Gari/Motokaa	Car	car			
item_63		vehicles	Helikopta	Helicopter	helicopter			
item_64		vehicles	Lori	Lorry	truck			
item_65		vehicles	Matatu/Saa robo	Minibus	time			
item_66		vehicles	Merikebu	Ship			ship	
item_67	item_34	vehicles	Ndege/eropleni	Aeroplane	airplane			
item_68		vehicles	Pikipiki	Motorbike			motorcycle	
item_69	item_33	vehicles	Tingatinga	Tractor			tractor	
item_70	item_36	toys	Chaki/Makaa	Chalk	chalk			
item_71		toys	Gun	Gun	gun			
item_72		toys	Hadithi/ngano	Story	story			
item_73	item_38	toys	Kalamu	Pen	pen			
item_74		toys	Kamba	Rope	rope			
item_75	item_39	toys	Kibofu	Balloon			balloon	
item_76		toys	Kifuu/Kifufu	Coconut shell	and			
item_77		toys	Doli/Kinyago	Doll	doll			
item_78	item_40	toys	Kitabu	Book	book			
item_79	item_41	toys	Mchezo	Game/Play			game	
item_80	item_42	toys	Mpira/Boli	Ball	ball			
item_81		toys	Ngamu/Gundi/Gamu	Glue	glue			
item_82		toys	Penseli	Pencil	pencil			
item_83		toys	Penseli rangi/Colour/Rangi	colouring pencil/crayons				
item_84	item_43	toys	Povu	Foam/bubbles	bubbles			
item_85	item_44	toys	Udongo	Mud/Clay	sand			
item_86		toys	Vibao/Bao	Board			board game	
item_87	item_45	toys	Zawadi	Present			present	
item_88		food_drink	Apple	Apple	apple			
item_89		food_drink	asali/uki	Honey	bee			
item_90		food_drink	Avocado	Avocado			avocado	
item_91		food_drink	Bajia	Fried Potatoes			french fries	
item_92	item_46	food_drink	Barafu	Ice	snow		ice	
item_93	item_76	food_drink	BigG/Ballgum	Bubblegum			gum	
item_94		food_drink	Biriani	Rice made in such away that it has atleast two different colours	rice			
item_95	item_47	food_drink	Biskuti	Biscuit	cookie			
item_96	item_48	food_drink	Chai	Tea	tea			
item_97	item_49	food_drink	Chakula	Food	food			
item_98	item_50	food_drink	Chapati	Chapati	tortilla			
item_99		food_drink	Chocolate	Chocolate	chocolate			
item_100		food_drink	Chumvi	Salt	salty		salt	
item_101	item_60	food_drink	Chungwa	Orange	orange (food)			
item_102	item_61	food_drink	Embe	Mango			mango	
item_103		food_drink	Ice cream	Ice cream	ice cream			
item_104		food_drink	Jam	Jam			jam	
item_105		food_drink	Kahawa	Coffee	coffee			
item_106	item_53	food_drink	Kaimati	Bun1	bun			
item_107	item_54	food_drink	Karoti	Carrot	carrots			
item_108	item_55	food_drink	Keki	Cake	cake			
item_109		food_drink	Kiazi	Potato	potato			
item_110		food_drink	kiboma	Kingfish			fish (food)	
item_111		food_drink	Kinywaji	DrinkN	drink (beverage)			
item_112		food_drink	kitumbua	Bun2			bun	
item_113		food_drink	Koo	Sweet			sweets	
item_114	item_57	food_drink	Kuku	ChickenF			chicken (food)	
item_115		food_drink	kunde	Cow peas			peas	
item_116		food_drink	Kungu	Fruit	crow			
item_117		food_drink	Madafu	Unripe coconuts			coconut	
item_118		food_drink	mahamri/maandazi	Dumpling	bun			
item_119	item_63	food_drink	Maharagwe	Beans	beans			
item_120		food_drink	Mahindi	Maize			corn	
item_121	item_59	food_drink	Maji	WaterF			water (beverage)	
item_122	item_51	food_drink	Maji ya machungwa/juisi	orange juice			orange juice	
item_123		food_drink	Matomoko	Fruit			fruit	
item_124	item_64	food_drink	Maziwa	Milk	milk			
item_125		food_drink	Maziwa mala/lala/kuganda/Yoghurt	Sour milk				
item_126		food_drink	Mbaazi	Green peas	peas			
item_127		food_drink	mchuzi	Soup/sauce	sauce			
item_128	item_67	food_drink	Mkate	Bread	bread			
item_129	item_65	food_drink	Muhogo	Cassava			cassava	
item_130	item_70	food_drink	Nazi	Coconut			coconut	
item_131	item_52	food_drink	Ndizi	Bananas	banana			
item_132		food_drink	Njugu (karanga)	Groundnuts	peanut			
item_133	item_71	food_drink	Nyama	Meat	meat			
item_134		food_drink	nyanya/Tomato	Tomatoes	tomato			
item_135	item_58	food_drink	Omena/Kumbu	Sardine			sardine	duplicate
item_135	item_68	food_drink	Omena/Kumbu				sardine	duplicate
item_136		food_drink	Paipai	Paw paw			papaya	
item_137		food_drink	Papa	Shark			shark	
item_138	item_75	food_drink	Peremende	Sweets			sweets	
item_139		food_drink	Pilau	Pilau	rice			
item_140		food_drink	Pili pili	Pepper			pepper	
item_141		food_drink	pojo	Green peas			peas	
item_142		food_drink	Popcorn/bisi	Popcorns	popcorn			
item_143	item_77	food_drink	Samaki	FishF			fish (food)	
item_144		food_drink	Sambusa	Samosa			samosa	
item_145		food_drink	Siagi/Blue Band	Butter	butter			
item_146		food_drink	Siki	Ginger			ginger	
item_147	item_83	food_drink	Sima	Thick porridge			porridge	
item_148		food_drink	Soda	Soda	soda			
item_149		food_drink	Spaghetti	Spaghetti	pasta			
item_150	item_79	food_drink	Sukuma	Kale	push			
item_151		food_drink	Supu	Soup	soup			
item_152		food_drink	Tambi	Noodles	pasta			
item_153	item_78	food_drink	Tamu	Something sweet	yum yum			
item_154		food_drink	Tembo/pombe	Alcohol	elephant			
item_155		food_drink	Tikiti/Watermelon	Watermelon	watermelon			
item_156		food_drink	Tosti	Toasted Bread			toast	
item_157		food_drink	uji	Porridge	porridge			
item_158		food_drink	Unga	Maize Flour				
item_159		food_drink	Viazi	Potatoes	potato			
item_160	item_82	food_drink	Viazi kaanga/chips	Chips	chips			
item_161		food_drink	Viazi vya rojo/Viazi karai	potatoes in soup				
item_162	item_66	food_drink	Wali/Mchele	Rice	rice			
item_163	item_84	food_drink	Yai	Egg	egg			
item_164		clothing	Bangili	Bangles			bracelet	
item_165		clothing	Bib	Bib			bib	
item_166		clothing	buibui	Moslem overdress			shawl	
item_167	item_90	clothing	Chupi/Panti	Underpants	underpants		underpants	
item_168		clothing	jaketi	Jacket	jacket			
item_169		clothing	Jeans	Jeans	jeans			
item_170		clothing	Kamisi	Petticoat				
item_171		clothing	kanga	Cloth1				
item_172		clothing	Kaptula/Kinyasa/Kipande	Shorts			shorts	
item_173	item_87	clothing	Kiatu	Shoe	shoe			
item_174		clothing	Kifungo	Button	button			
item_175		clothing	Kikoi	Cloth2				
item_176		clothing	Kipkapa/kepa/Cap	Hat/cap	hat			
item_177		clothing	kirinda	Peticoat				
item_178		clothing	Kitambaa	Piece of cloth	bib			
item_179		clothing	Kitambaa cha kichwa/Hijab	headscarf			scarf	
item_180		clothing	Kofia	Hat	hat			
item_181		clothing	Koti	Coat	coat			
item_182	item_89	clothing	leso	Colured cloth worn by women and has wordings	handkerchief	sari/dress	dress (object)	
item_183		clothing	Longi/Suruali	Trousers			pants	
item_184		clothing	Mabuti/Njuti	Boots	boots			
item_185		clothing	Mkufu/Ushanga/Tasbihi	Necklace/Beads	beads			
item_186		clothing	Mshipi	Belt	cook			
item_187	item_91	clothing	Nepi	Nappy	diaper			
item_188	item_92	clothing	Nguo	Clothes	dress (object)		clothes	
item_189		clothing	Rinda	Dress			dress (object)	
item_190	item_93	clothing	Sapata/pata pata/ndara/Champali/Slipper	Sandals			sandals	
item_191	item_94	clothing	Shati	Shirt	shirt			
item_192		clothing	shuka/shiti	Sheet			bedsheet	
item_193		clothing	Sketi	Skirt	skirt			
item_194	item_95	clothing	Soksi	Socks	sock			
item_195		clothing	suti/Beli	Suit			suit	
item_196	item_97	clothing	Sweta	Sweater	sweater			
item_197	item_85	clothing	Titi/Nono/Nyonyo	Nipple	breast			
item_198		clothing	T-Shirt	T-shirt	vest		t-shirt	
item_199		clothing	Vipuli	Earrings			earring	
item_200		clothing	Zip	Zipper	zipper			
item_201		body_parts	Bega	Shoulder	shoulder			
item_202		body_parts	Goti	Knee	knee			
item_203	item_100	body_parts	Jicho	Eye	eye			
item_204	item_99	body_parts	Jino	Teeth	tooth			
item_205	item_103	body_parts	Kichwa/Head	Head	head			
item_206		body_parts	Kidevu	Chin	chin			
item_207	item_98	body_parts	kidole	Finger	toe			
item_208		body_parts	Kiganja	Palm	palm			
item_209	item_102	body_parts	Kitovu	Umbilical cord	belly button			
item_210	item_104	body_parts	Kucha	Fingernail	nail (body part)			
item_211		body_parts	Makalio/matako	Buttocks	butt			
item_212		body_parts	Mgongo	Back	back			
item_213	item_101	body_parts	Mguu	Leg	leg			
item_214	item_106	body_parts	Midomo	Mouth	lips			
item_215	item_107	body_parts	Mkono	Hand	hand			
item_216		body_parts	Nyayo	Feet	feet			
item_217	item_109	body_parts	Nywele	Hair	hair			
item_218		body_parts	Pua	Nose	nose			
item_219	item_110	body_parts	Sehemu za siri/Dudu/Mdudu/Tupu/Tumbaki	Private parts	penis			
item_220		body_parts	Shavu	Cheeks	cheek			
item_221	item_111	body_parts	Sikio	Ear	ear			
item_222	item_108	body_parts	Tumbo	Stomach	tummy			
item_223		body_parts	Ulimi	Tongue	tongue			
item_224	item_112	body_parts	Uso	Face	face			
item_225	item_114	household	Bakuli	Bowl	bowl			
item_226	item_115	household	Beseni/Karai	Basin	dish			
item_227	item_119	household	Bilauri/glasi	Glass	glass			
item_228		household	Blanketi	Blanket	blanket			
item_229		household	Brashi	Brush	brush (object)			
item_230	item_145	household	Chupa	Bottle	bottle			
item_231	item_116	household	Dawa	Medicine	medicine			
item_232	item_117	household	Fimbo	StickH	stick			
item_233	item_120	household	Godoro	Matress			bed	
item_234	item_121	household	Jagi	Jug	bowl			
item_235		household	Kamera	Camera	camera			
item_236		household	Kapeti	Carpet	carpet			
item_237	item_122	household	Karatasi	Paper	paper			
item_238		household	Karatasi ya chooni/ya kujipangusa	Toliet paper			toilet paper	
item_239	item_127	household	Kichana	Comb	comb (object)			
item_240		household	Kifunuo	Opener			can opener	
item_241		household	Kifuvu/Kifuu	copra (coconut cover)				
item_242	item_123	household	Kijiko	Spoon	spoon			
item_243	item_124	household	Kikapu	Basket	basket			
item_244	item_125	household	kikombe	Cup	cup			
item_245	item_126	household	Kisu	Knife	knife			
item_246		household	Kopo	Mug			mug	
item_247		household	Makasi	Scissor	scissors			
item_248		household	Makuti	coconut leaves			roof	
item_249		household	Mbuzi	A tool used to grate coconut				
item_250	item_129	household	Miwani	Glasses	glasses			
item_251		household	Mkebe	Tin				
item_252		household	Mkeka	Mat			mat	
item_253	item_113	household	Mkoba/mfuko/begi	Bag	bag			
item_254	item_130	household	Mswaki	Toothbrush	toothbrush			
item_255		household	Mto	Pillow	pillow			
item_256	item_131	household	Mwiko	Cooking stick				ladle?
item_257	item_132	household	Ndoo	Bucket1			bucket	
item_258		household	Nyundo	Hammer	hammer			
item_259		household	Pesa/ngenje	Money	money			
item_260	item_135	household	Picha	Picture	picture			
item_261		household	Posta/barua	letter/ Post office			letter	
item_262	item_136	household	Redio	Radio	radio			
item_263		household	Remote	Remote control	remote control			
item_264	item_137	household	Saa	Watch	clock			
item_265	item_138	household	Sabuni	Soap	soap			
item_266	item_139	household	Sahani	Plate	plate			
item_267	item_140	household	Sanduku	Box	box			
item_268	item_133	household	Shilingi	Shilling	penny			
item_269	item_141	household	Simu	Phone			phone	
item_270	item_142	household	Sinia	Metal tray	dish			
item_271		household	Taa ya koroboi	Lamp	light (object)			
item_272		household	Taa ya mkopo/kibatari	Lamp	light (object)			
item_273	item_143	household	Taa/Stima/Kandili	Light	lamp			
item_274	item_146	household	Taka/Chafu	Dirt/Waste			trash	
item_275	item_144	household	Tauli/Towel	Towel	towel			
item_276	item_128	household	Ufagio	Broom	broom			
item_277	item_118	household	Ufunguo	Key	keys			
item_278		household	Ukuta/Kiambaza	Wall	wall			
item_279		household	Uma/Fork	Fork	fork			
