WS	WG	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1		sounds	ai/au/vai/auč	ouch	ouch/ow		ouch	
item_2		sounds	be-e-e/bē/mē	sheep	baa baa baa			
item_3	item_2	sounds	br/brm/brum	car	Vroom		vroom	
item_4		sounds	brr	cold	brrr			
item_5	item_3	sounds	čiv-čiv	bird	tweet tweet			
item_6	item_4	sounds	čuk-čuk/tu-tū	train	choo choo	clickety clack		reject; keep choo choo
item_7		sounds	iā	horse	neigh			
item_8	item_5	sounds	kikerigū	rooster	cock a doodle doo		cockadoodledoo	
item_9	item_6	sounds	krā-krā	crow	caw			
item_10		sounds	ku-kū	coocoo bird	coo-coo-coo		coo coo	?
item_11	item_7	sounds	kvā-kvā	frog	ribbet		ribbit	
item_12	item_8	sounds	mū	cow	moo			
item_13	item_9	sounds	ņam-ņam	eating	yum yum			
item_14	item_10	sounds	ņau/miau	cat	meow			
item_15	item_11	sounds	pēk-pēk/pek-pek	duck	quack quack			
item_16	item_12	sounds	pī-pī	mouse	squeak			
item_17		sounds	puk-puk	hedgehog	snuffle			
item_18	item_13	sounds	ruk-ruk	pig	oink			
item_19		sounds	sss/zzz/žžž	ply	buzz	fly?		
item_20	item_14	sounds	vau-vau	dog	woof woof			
item_21	item_15	animals	aita	sheep	sheep			
item_22		animals	balodis	pidgeon	pigeon	pigeon		
item_23	item_16	animals	bite	bee	bee			
item_24	item_17	animals	bruņurupucis	turtle	turtle			
item_25	item_18	animals	cālis	chicken	chicken			
item_26	item_19	animals	cūka	pig	pig			
item_27	item_20	animals	čūska	snake	snake			
item_28	item_21	animals	ezis	hendgehog	hedgehog	hedgehog		
item_29	item_22	animals	gailis	rooster	rooster			
item_30	item_23	animals	govs	cow	cow			
item_31	item_24	animals	kaķis	cat	cat			
item_32		animals	kaza	goat	goat			
item_33		animals	krokodils	crocodile	crocodile			
item_34	item_25	animals	kukainis	bug	bug			
item_35	item_26	animals	lācis	bear	bear			
item_36	item_27	animals	lapsa	fox	fox			
item_37	item_28	animals	lauva	lion	lion			
item_38	item_29	animals	mārīte	ladybug	ladybug			
item_39	item_30	animals	muša	fly	fly (animal)			
item_40	item_31	animals	pele	mouse	mouse			
item_41	item_32	animals	pērtiķis	monkey	monkey			
item_42	item_33	animals	pīle	duck	duck			
item_43	item_34	animals	pingvīns	penguin	penguin			
item_44	item_35	animals	pūce	owl	owl			
item_45	item_36	animals	putns	bird	bird			
item_46		animals	sivēns	piglet	pig			
item_47	item_37	animals	skudra	ant	ant			
item_48	item_38	animals	suns	dog	dog			
item_49	item_39	animals	taurenis	butterfly	butterfly			
item_50	item_40	animals	tīģeris	tiger	tiger			
item_51	item_41	animals	varde	frog	frog			
item_52		animals	vārna	crow	crow			
item_53	item_42	animals	vāvere	squirrel	squirrel			
item_54	item_43	animals	vilks	wolf	wolf			
item_55	item_44	animals	vista	hen	chicken (animal)			
item_56	item_45	animals	zaķis	hare	bunny			
item_57	item_46	animals	zilonis	elephant	elephant			
item_58	item_47	animals	zirgs	horse	horse			
item_59	item_48	animals	zirneklis	spider	spider			
item_60	item_49	animals	zivs	fish	fish (animal)			
item_61	item_50	animals	zoss	goose	goose			
item_62		animals	zvirbulis	sparrow	sparrow			
item_63	item_51	animals	žirafe	giraffe	giraffe			
item_64	item_52	vehicles	autobuss	bus	bus			
item_65	item_53	vehicles	helikopters	helicopter	helicopter			
item_66	item_54	vehicles	kuģis	ship	boat			
item_67		vehicles	laiva	boat	boat			
item_68	item_55	vehicles	lidmašīna	airplane	airplane			
item_69	item_56	vehicles	mašīna	car	car			
item_70	item_57	vehicles	motocikls	motorbike	motorcycle			
item_71		vehicles	ragaviņas	sled	sled			
item_72	item_58	vehicles	ratiņi	pram	stroller			
item_73		vehicles	ritenis / velosipēds	bicycle	bicycle			
item_74	item_60	vehicles	traktors	tractor	tractor			
item_75		vehicles	tramvajs	tram	tram			
item_76		vehicles	trolejbuss	trolleybus	trolleybus			
item_77	item_61	vehicles	vilciens	train	train			
item_78	item_63	toys	balons	balloon	balloon			
item_79	item_62	toys	bumba	ball	ball			
item_80		toys	dāvana	gift	gift			
item_81		toys	formiņa (smilšu k.)	sand mold	sandbox			
item_82		toys	grābeklis	rake	rake			
item_83	item_64	toys	grāmata	book	book			
item_84	item_65	toys	klucīši	blocks	blocks			
item_85		toys	krāsas	paints	paint			
item_86	item_66	toys	lāpsta	rake	shovel			
item_87	item_67	toys	lelle	doll	doll			
item_88		toys	ota	paintbrush	brush			
item_89		toys	pasaka	fairytale	story			
item_90		toys	pildspalva	pen	pen			
item_91		toys	plastilīns	playdough	play dough			
item_92	item_68	toys	rotaļlieta/mantiņa	toy	toy			
item_93	item_69	toys	spainītis	bucket	bucket			
item_94		toys	spēle	game	game			
item_95		toys	zīmulis	pencil/crayon	pencil			
item_96	item_70	food_drink	ābols	apple	apple			
item_97	item_71	food_drink	apelsīns	orage	orange (food)	orange?		
item_98		food_drink	arbūzs	watermelon	watermelon			
item_99		food_drink	avenes	raspberries	raspberry			
item_100	item_72	food_drink	banāns	banana	banana			
item_101	item_73	food_drink	biezpiens	quark/cottage cheese	cottage cheese			
item_102	item_74	food_drink	bumbieris	pear	pear			
item_103	item_75	food_drink	burkāns	carrot	carrot			
item_104	item_76	food_drink	cepums	cookie	cookie			
item_105		food_drink	cīsiņš	hotdog	hot dog			
item_106		food_drink	citrons	lemon	lemon			
item_107		food_drink	cukurs	sugar	sugar			
item_108		food_drink	desa	sausage	sausage			
item_109	item_77	food_drink	gaļa	meat	meat			
item_110		food_drink	griķi	buckwheat	buckwheat			
item_111	item_78	food_drink	gurķis	cucumber	cucumber			
item_112		food_drink	ievārījums	jam	jam			
item_113	item_79	food_drink	jogurts	yoghurt	yogurt			
item_114		food_drink	kafija	coffee	coffee			
item_115		food_drink	kakao	cocoa	cocoa		hot chocolate	tempted to reject: hot cocoa = hot chocolate, and cocoa often refers to hot chocolate..
item_116	item_80	food_drink	kāposti	cabbage	cabbage			
item_117	item_81	food_drink	kartupeļi	potatoes	potato			
item_118		food_drink	kefīrs	kefir	kefir			
item_119		food_drink	kompots	fruit drink	compote			
item_120	item_82	food_drink	konfekte	candy	candy			
item_121	item_83	food_drink	kotlete	meatballs	meatball			
item_122	item_84	food_drink	krējums	sour cream	cream			
item_123		food_drink	ķirbis	pumpkin	pumpkin			
item_124		food_drink	ķirši	cherries	cherries			
item_125		food_drink	limonāde	lemonade	lemonade			
item_126	item_85	food_drink	maize	bread	bread			
item_127	item_86	food_drink	makaroni	macaroni	pasta			
item_128		food_drink	mandarīns	tangerine	tangerine			
item_129		food_drink	manna	semolina	pudding			
item_130		food_drink	medus	honey	honey			
item_131		food_drink	mellenes	blueberries	blueberry			
item_132		food_drink	mērce	gravy/sauce	gravy			
item_133	item_88	food_drink	ola	egg	egg			
item_134		food_drink	pankūka	pancake	pancake			
item_135	item_89	food_drink	piens	milk	milk			
item_136		food_drink	piparkūkas	gingerbread	gingerbread			or cookie?
item_137		food_drink	pīrādziņš	pie/hot pocket	dumpling			or meat pie/pasty?
item_138		food_drink	plūme	plum	plum			
item_139	item_91	food_drink	putra	porridge	porridge			
item_140		food_drink	rieksti	nuts	nuts			
item_141		food_drink	rīsi	rice	rice			
item_142		food_drink	rozīnes	raisins	raisin			
item_143	item_92	food_drink	salāti	salad	salad			
item_144	item_93	food_drink	saldējums	icecream	ice cream			
item_145		food_drink	sāls	salt	salt			
item_146		food_drink	sēnes	mushrooms	mushrooms		mushroom	
item_147		food_drink	sieriņš	curd snack				sweetened cottage cheese snack bar
item_148	item_94	food_drink	siers	cheese	cheese			
item_149	item_95	food_drink	sula	juice	juice			
item_150		food_drink	sviestmaize	sandwich	sandwich			
item_151	item_96	food_drink	sviests	butter	butter			
item_152		food_drink	šokolāde	chocolate	chocolate			
item_153	item_97	food_drink	tēja	tea	tea			
item_154	item_98	food_drink	tomāts	tomato	tomato			
item_155	item_99	food_drink	torte/kūka	cake	cake			
item_156	item_100	food_drink	ūdens	water	water (beverage)			
item_157		food_drink	upenes	black currants	berry			
item_158		food_drink	vīnogas	grapes	grapes			
item_159		food_drink	vista	chicken	chicken (food)			
item_160	item_101	food_drink	zemenes	strawberries	strawberry			
item_161		food_drink	zirņi	peas	peas			
item_162	item_102	food_drink	zivs	fish	fish (food)			
item_163	item_103	food_drink	zupa	soup	soup			
item_164		clothing	apavi	shoes	shoe			
item_165		clothing	apģērbs	clothes	clothes			
item_166	item_105	clothing	bikses	trousers	pants			
item_167	item_106	clothing	biksītes	knickers	underwear			
item_168		clothing	botes	high overshoes	boot			
item_169	item_107	clothing	cepure	hat	hat			
item_170	item_108	clothing	cimdi	mittens	mitten			
item_171	item_109	clothing	čības	slippers	slipper			
item_172	item_110	clothing	džemperis	jumper	sweater			
item_173	item_111	clothing	jaka	cardigan	jacket			
item_174		clothing	kapuce	hood	hood			
item_175		clothing	kedas	sneakers	sneaker			
item_176	item_112	clothing	kleita	dress	dress (object)			
item_177		clothing	kombinezons	overalls	overalls			
item_178	item_113	clothing	krekls	shirt	shirt			
item_179	item_114	clothing	krelles	beads	beads			
item_180	item_115	clothing	kurpes	shoes	shoe			
item_181	item_117	clothing	mētelis	coat	coat			
item_182		clothing	pampers/autiņbiksītes	diaper	diaper			
item_183		clothing	pidžama	pajamas	pajamas			
item_184		clothing	pirkstaiņi	gloves	glove			
item_185	item_118	clothing	pogas	buttons	button			
item_186		clothing	sandales	sandals	sandal			
item_187		clothing	svārki	skirt	skirt			
item_188	item_119	clothing	šalle	scarf	scarf			
item_189		clothing	šorti/īsbikses	shorts	shorts			
item_190	item_121	clothing	zābaki	boots	boot			
item_191	item_122	clothing	zeķbikses	tights	tights			
item_192	item_123	clothing	zeķes	socks	sock			
item_193		body_parts	acs/acis	eye/eyes	eye			
item_194		body_parts	auss/ausis	ear/ears	ear			
item_195		body_parts	celis	knee	knee			
item_196	item_127	body_parts	deguns	nose	nose			
item_197		body_parts	dibens	bottom	bottom			
item_198		body_parts	elkonis	elbow	elbow			
item_199	item_128	body_parts	galva	head	head			
item_200	item_129	body_parts	kāja	leg	leg			
item_201	item_130	body_parts	kakls	neck	neck			
