WS	category	definition	gloss	uni_lemma	new_gloss	new_uni_lemma	notes
item_1	sounds	baa baa	baa baa	baa baa			
item_2	sounds	choo choo	choo choo	choo choo			
item_3	sounds	cockadoodledoo	cockadoodledoo	cockadoodledoo			
item_4	sounds	grr	grr	grrr			
item_5	sounds	meow	meow	meow			
item_6	sounds	moo	moo	moo			
item_7	sounds	ouch	ouch	ouch			
item_8	sounds	quack quack	quack quack	quack quack			
item_9	sounds	uh oh	uh oh	uh oh			
item_10	sounds	vroom/broom	vroom/broom	vroom			
item_11	sounds	woof woof	woof woof	woof woof			
item_12	sounds	yum yum	yum yum	yum yum			
item_13	animals	animal	animal	animal			
item_14	animals	ant	ant	ant			
item_15	animals	bear	bear	bear			
item_16	animals	bee	bee	bee			
item_17	animals	bird	bird	bird			
item_18	animals	bug	bug	bug			
item_19	animals	bunny/rabbit	bunny/rabbit	bunny			
item_20	animals	butterfly	butterfly	butterfly			
item_21	animals	(pussy)cat	(pussy)cat	cat			
item_22	animals	donkey	donkey	donkey			
item_23	animals	duck	duck	duck			
item_24	animals	elephant	elephant	elephant			
item_25	animals	fish	fish	fish (animal)			
item_26	animals	frog	frog	frog			
item_27	animals	giraffe	giraffe	giraffe			
item_28	animals	goose	goose	goose			
item_29	animals	horse	horse	horse			
item_30	animals	kangaroo/roo	kangaroo/roo	kangaroo			
item_31	animals	owl	owl	owl			
item_32	animals	penguin	penguin	penguin			
item_33	animals	pig	pig	pig			
item_34	animals	pony	pony	pony			
item_35	animals	possum	possum				
item_36	animals	puppy	puppy	puppy			
item_37	animals	sheep	sheep	sheep			
item_38	animals	snake	snake	snake			
item_39	animals	spider	spider	spider			
item_40	animals	cockroach	cockroach				
item_41	animals	cow	cow	cow			
item_42	animals	crocodile	crocodile	crocodile			
item_43	animals	deer	deer	deer			
item_44	animals	dog	dog	dog			
item_45	animals	koala	koala			koala	
item_46	animals	lamb	lamb	lamb			
item_47	animals	lion	lion	lion			
item_48	animals	monkey	monkey	monkey			
item_49	animals	mouse	mouse	mouse			
item_50	animals	tiger	tiger	tiger			
item_51	animals	turkey	turkey	turkey			
item_52	animals	turtle	turtle	turtle			
item_53	animals	wombat	wombat			wombat	
item_54	animals	zebra	zebra			zebra	
